Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,SUDARSCHEM,EQ,110.2,110.05,115.0,110.0,114.45,114.2,112.81,31382,354010245000.0,626,22309,0.7109000000000001
2016-01-04,SUDARSCHEM,EQ,114.2,113.0,114.0,110.45,111.6,111.3,112.03,59433,665798195000.0,813,37378,0.6289
2016-01-05,SUDARSCHEM,EQ,111.3,111.75,113.5,110.5,113.0,112.45,111.9,29670,331994500000.0,507,19608,0.6609
2016-01-06,SUDARSCHEM,EQ,112.45,112.0,113.95,108.9,109.2,109.45,111.16,68324,759500450000.0,846,51523,0.7541
2016-01-07,SUDARSCHEM,EQ,109.45,109.0,109.95,105.1,106.4,105.9,106.61,75966,809848010000.0,1091,51780,0.6816
2016-01-08,SUDARSCHEM,EQ,105.9,106.6,110.2,106.6,109.2,109.15,109.27,79968,873829455000.0001,1119,51591,0.6451000000000001
2016-01-11,SUDARSCHEM,EQ,109.15,107.8,109.75,105.5,108.5,108.65,107.88,46752,504382090000.00006,681,23370,0.4999
2016-01-12,SUDARSCHEM,EQ,108.65,108.55,110.95,107.0,107.1,107.3,109.19,30525,333299960000.0,677,17485,0.5728
2016-01-13,SUDARSCHEM,EQ,107.3,108.4,110.8,102.5,108.0,107.75,107.08,99911,1069852940000.0,1378,56197,0.5625
2016-01-14,SUDARSCHEM,EQ,107.75,105.5,106.3,103.0,105.0,104.3,104.68,40742,426477600000.0,782,26433,0.6487999999999999
2016-01-15,SUDARSCHEM,EQ,104.3,104.9,105.95,97.45,99.7,99.4,101.43,63278,641851520000.0,1120,39911,0.6307
2016-01-18,SUDARSCHEM,EQ,99.4,93.65,99.8,91.5,92.85,92.25,94.63,77721,735466590000.0,1384,43861,0.5643
2016-01-19,SUDARSCHEM,EQ,92.25,94.0,96.95,93.0,94.3,94.9,94.99,41454,393754085000.0,878,33008,0.7963
2016-01-20,SUDARSCHEM,EQ,94.9,94.0,94.0,89.0,89.7,89.95,90.91,61762,561506190000.0,965,48029,0.7776000000000001
2016-01-21,SUDARSCHEM,EQ,89.95,91.5,92.45,89.15,89.4,89.5,90.45,28430,257150770000.00003,700,18149,0.6384000000000001
2016-01-22,SUDARSCHEM,EQ,89.5,91.15,93.65,91.1,92.15,92.55,92.38,59531,549976445000.0,618,41819,0.7025
2016-01-25,SUDARSCHEM,EQ,92.55,93.4,95.8,92.95,94.55,95.2,94.45,34684,327583885000.0,533,27628,0.7966
2016-01-27,SUDARSCHEM,EQ,95.2,96.0,96.1,95.0,95.0,95.25,95.45,16858,160905545000.0,305,9464,0.5614
2016-01-28,SUDARSCHEM,EQ,95.25,95.8,97.7,95.4,95.65,95.6,96.59,21472,207401795000.0,434,14142,0.6586
2016-01-29,SUDARSCHEM,EQ,95.6,96.55,97.7,95.1,96.9,95.85,95.99,16372,157161285000.0,395,9188,0.5612
2016-02-01,SUDARSCHEM,EQ,95.85,98.85,98.85,95.0,97.5,97.45,96.74,36480,352922285000.0,644,26692,0.7317
2016-02-02,SUDARSCHEM,EQ,97.45,98.0,98.7,94.7,95.9,95.3,97.17,44730,434660790000.00006,568,31943,0.7141
2016-02-03,SUDARSCHEM,EQ,95.3,94.0,96.0,93.25,94.0,94.35,94.29,26726,251988340000.0,502,19595,0.7332
2016-02-04,SUDARSCHEM,EQ,94.35,94.1,96.5,92.1,93.0,93.3,93.8,22507,211121800000.0,524,13900,0.6176
2016-02-05,SUDARSCHEM,EQ,93.3,94.75,94.9,92.1,93.6,93.55,93.55,18942,177203080000.0,311,15504,0.8185
2016-02-08,SUDARSCHEM,EQ,93.55,93.75,94.25,91.5,91.5,92.0,93.05,21536,200398115000.0,362,17455,0.8105
2016-02-09,SUDARSCHEM,EQ,92.0,91.15,93.15,89.5,90.0,89.9,90.51,43264,391563935000.0,385,40123,0.9274
2016-02-10,SUDARSCHEM,EQ,89.9,89.65,89.8,86.15,87.5,87.6,87.88,43329,380756745000.0,654,32410,0.748
2016-02-11,SUDARSCHEM,EQ,87.6,89.0,89.0,82.3,83.2,83.25,84.18,55809,469810209999.99994,1058,40048,0.7176
2016-02-12,SUDARSCHEM,EQ,83.25,83.05,84.25,78.0,80.0,79.85,80.85,49719,401971405000.0,913,35065,0.7053
2016-02-15,SUDARSCHEM,EQ,79.85,82.4,88.7,80.75,83.15,83.75,83.58,62625,523401640000.00006,1167,35119,0.5608
2016-02-16,SUDARSCHEM,EQ,83.75,84.05,85.7,80.45,81.95,81.65,83.32,22898,190787090000.0,583,13349,0.583
2016-02-17,SUDARSCHEM,EQ,81.65,82.05,82.05,79.0,81.05,81.05,80.35,27389,220062025000.0,368,19837,0.7243
2016-02-18,SUDARSCHEM,EQ,81.05,81.9,83.55,80.7,83.0,82.65,82.52,9757,80512510000.0,313,5937,0.6085
2016-02-19,SUDARSCHEM,EQ,82.65,81.95,82.6,80.15,80.2,80.55,81.31,12424,101021285000.0,269,6337,0.5101
2016-02-22,SUDARSCHEM,EQ,80.55,81.5,84.9,81.5,83.0,83.2,83.16,23278,193581765000.0,400,17405,0.7477
2016-02-23,SUDARSCHEM,EQ,83.2,84.9,84.9,80.0,80.2,81.0,81.81,54015,441886509999.99994,363,48483,0.8976000000000001
2016-02-24,SUDARSCHEM,EQ,81.0,82.1,83.9,79.65,81.8,81.85,81.55,115390,941052769999.9999,2135,25676,0.2225
2016-02-25,SUDARSCHEM,EQ,81.85,83.05,83.1,80.1,80.5,81.0,81.61,19605,159993930000.0,545,10067,0.5135000000000001
2016-02-26,SUDARSCHEM,EQ,81.0,81.95,82.0,79.7,80.9,80.45,80.38,8121,65279585000.0,241,6485,0.7985
2016-02-29,SUDARSCHEM,EQ,80.45,81.05,81.25,78.75,79.5,79.35,79.84,10954,87451870000.0,318,6968,0.6361
2016-03-01,SUDARSCHEM,EQ,79.35,79.95,83.05,79.95,81.35,82.6,81.82,19233,157371460000.0,554,10508,0.5464
2016-03-02,SUDARSCHEM,EQ,82.6,84.2,87.9,82.0,86.7,86.35,85.48,93783,801625800000.0,967,59912,0.6388
2016-03-03,SUDARSCHEM,EQ,86.35,86.3,89.5,86.3,86.55,86.85,87.75,48475,425390050000.0,1112,35311,0.7284
2016-03-04,SUDARSCHEM,EQ,86.85,87.1,88.75,86.0,87.5,87.3,87.64,23151,202890885000.0,405,14194,0.6131000000000001
2016-03-08,SUDARSCHEM,EQ,87.3,87.6,89.1,85.0,85.55,85.95,87.19,39229,342048600000.0,660,25741,0.6562
2016-03-09,SUDARSCHEM,EQ,85.95,85.95,86.7,85.1,86.7,86.3,85.69,19838,169996975000.0,500,12007,0.6053000000000001
2016-03-10,SUDARSCHEM,EQ,86.3,89.5,90.05,87.75,88.6,88.6,88.96,165540,1472685535000.0,2118,99238,0.5995
2016-03-11,SUDARSCHEM,EQ,88.6,89.45,90.55,87.7,88.25,88.25,88.82,71165,632109230000.0,2490,49689,0.6981999999999999
2016-03-14,SUDARSCHEM,EQ,88.25,89.15,89.65,88.0,88.45,88.3,88.96,60978,542447100000.0,518,23860,0.39130000000000004
2016-03-15,SUDARSCHEM,EQ,88.3,88.8,89.25,86.3,87.85,87.1,87.63,22408,196367260000.0,541,12451,0.5556
2016-03-16,SUDARSCHEM,EQ,87.1,87.15,87.8,86.0,86.75,86.95,86.73,27122,235222710000.0,627,17310,0.6382
2016-03-17,SUDARSCHEM,EQ,86.95,87.8,89.0,87.1,89.0,88.5,88.13,32292,284600840000.0,463,22549,0.6983
2016-03-18,SUDARSCHEM,EQ,88.5,89.7,89.75,87.5,89.1,88.75,88.82,26273,233369550000.0,435,17880,0.6805
2016-03-21,SUDARSCHEM,EQ,88.75,87.85,88.65,87.2,87.6,87.65,87.57,37980,332601480000.0,475,28825,0.7590000000000001
2016-03-22,SUDARSCHEM,EQ,87.65,87.7,88.75,86.0,87.3,87.95,87.63,38042,333357165000.0,669,17745,0.46649999999999997
2016-03-23,SUDARSCHEM,EQ,87.95,87.75,88.85,86.15,86.3,86.35,86.93,27725,241012915000.0,336,22533,0.8127
2016-03-28,SUDARSCHEM,EQ,86.35,87.55,87.95,86.15,87.0,86.7,87.02,58664,510468880000.0,480,43213,0.7366
2016-03-29,SUDARSCHEM,EQ,86.7,88.4,88.95,86.4,87.9,88.1,87.67,53073,465273980000.0,1368,39840,0.7506999999999999
