date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,698.0,699.0,697.1,698.0,427.0
2020-04-03 05:58:00,697.0,698.9,696.95,698.9,256.0
2020-04-03 05:57:00,701.6,701.6,696.95,697.0,593.0
2020-04-03 05:56:00,700.0,702.85,700.0,701.6,206.0
2020-04-03 05:55:00,700.05,701.95,700.0,701.95,99.0
2020-04-03 05:54:00,703.0,703.0,700.0,700.65,468.0
2020-04-03 05:53:00,703.0,703.05,701.35,703.0,172.0
2020-04-03 05:52:00,702.45,704.25,700.65,703.0,321.0
2020-04-03 05:51:00,702.0,702.4,701.0,702.4,186.0
2020-04-03 05:50:00,704.55,704.55,702.0,702.0,182.0
2020-04-03 05:49:00,703.55,703.65,700.05,703.65,306.0
2020-04-03 05:48:00,703.55,705.0,703.55,704.0,152.0
2020-04-03 05:47:00,704.75,704.9,700.0,703.55,732.0
2020-04-03 05:46:00,702.7,704.9,701.0,701.0,1484.0
2020-04-03 05:45:00,702.75,702.8,701.35,701.35,75.0
2020-04-03 05:44:00,702.0,702.65,701.0,702.55,307.0
2020-04-03 05:43:00,703.15,703.5,701.25,703.5,243.0
2020-04-03 05:42:00,703.2,703.5,703.15,703.5,180.0
2020-04-03 05:41:00,702.8,703.2,702.8,703.2,196.0
2020-04-03 05:40:00,703.2,703.55,702.75,703.2,114.0
2020-04-03 05:39:00,703.55,703.55,703.15,703.15,254.0
2020-04-03 05:38:00,703.55,703.55,702.55,703.55,34.0
2020-04-03 05:37:00,702.3,703.55,702.3,703.55,147.0
2020-04-03 05:36:00,701.15,702.4,701.15,702.4,147.0
2020-04-03 05:35:00,701.2,701.55,701.15,701.15,92.0
2020-04-03 05:34:00,701.2,701.2,701.15,701.15,2.0
2020-04-03 05:33:00,701.7,701.7,701.05,701.05,130.0
2020-04-03 05:32:00,703.05,703.05,701.5,701.5,110.0
2020-04-03 05:31:00,704.05,704.05,703.2,703.2,44.0
2020-04-03 05:30:00,703.85,704.4,703.35,703.35,50.0
2020-04-03 05:29:00,703.85,704.4,703.3,704.4,51.0
2020-04-03 05:27:00,703.0,704.75,701.05,703.25,232.0
2020-04-03 05:26:00,702.65,703.0,702.65,703.0,51.0
2020-04-03 05:25:00,702.4,702.65,701.05,702.6,96.0
2020-04-03 05:24:00,704.0,704.0,701.95,702.9,167.0
2020-04-03 05:23:00,704.65,704.65,704.0,704.65,0.0
2020-04-03 05:22:00,704.75,704.8,704.75,704.75,215.0
2020-04-03 05:21:00,704.05,704.75,704.0,704.75,37.0
2020-04-03 05:20:00,704.5,704.5,704.0,704.3,9.0
2020-04-03 05:19:00,704.5,705.0,704.0,704.0,152.0
2020-04-03 05:18:00,704.5,704.95,702.95,703.95,51.0
2020-04-03 05:17:00,703.5,705.0,703.5,704.0,302.0
2020-04-03 05:16:00,701.85,704.0,701.85,704.0,215.0
2020-04-03 05:15:00,701.1,701.85,701.1,701.85,141.0
2020-04-03 05:14:00,701.1,701.25,701.1,701.25,53.0
2020-04-03 05:13:00,701.15,701.65,701.05,701.25,13.0
2020-04-03 05:12:00,701.55,701.75,701.3,701.35,48.0
