date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,304.5,305.0,302.15,305.0,1620.0
2020-04-03 05:58:00,305.0,305.0,303.9,305.0,3264.0
2020-04-03 05:57:00,302.7,304.95,302.1,304.85,12285.0
2020-04-03 05:56:00,303.5,303.5,302.75,302.85,7020.0
2020-04-03 05:55:00,303.4,303.95,303.35,303.5,2625.0
2020-04-03 05:54:00,303.8,303.8,303.15,303.45,2629.0
2020-04-03 05:53:00,304.05,304.3,303.45,303.75,9417.0
2020-04-03 05:52:00,304.55,304.6,303.8,304.0,6302.0
2020-04-03 05:51:00,305.1,305.45,304.55,304.55,2589.0
2020-04-03 05:50:00,304.95,305.45,304.95,305.15,4687.0
2020-04-03 05:49:00,305.15,305.75,304.65,304.9,4951.0
2020-04-03 05:48:00,305.3,305.45,304.95,305.15,6015.0
2020-04-03 05:47:00,305.5,305.65,304.75,305.4,3240.0
2020-04-03 05:46:00,305.0,305.6,304.7,305.5,3607.0
2020-04-03 05:45:00,305.0,305.65,304.65,304.95,2247.0
2020-04-03 05:44:00,304.7,305.0,304.3,304.9,1595.0
2020-04-03 05:43:00,303.9,304.75,303.7,304.7,3945.0
2020-04-03 05:42:00,305.25,305.3,303.95,303.95,3835.0
2020-04-03 05:41:00,305.5,305.65,305.05,305.25,1443.0
2020-04-03 05:40:00,306.15,306.25,305.5,305.95,3272.0
2020-04-03 05:39:00,305.9,306.5,305.5,306.25,6164.0
2020-04-03 05:38:00,306.15,306.3,304.35,305.95,5549.0
2020-04-03 05:37:00,305.0,306.15,305.0,306.15,3927.0
2020-04-03 05:36:00,304.1,305.45,303.6,305.0,4731.0
2020-04-03 05:35:00,304.2,304.2,303.65,304.0,1793.0
2020-04-03 05:34:00,303.75,304.25,303.65,304.25,1232.0
2020-04-03 05:33:00,305.0,305.0,303.5,303.75,6527.0
2020-04-03 05:32:00,305.35,305.55,305.0,305.05,1914.0
2020-04-03 05:31:00,305.5,305.75,305.1,305.35,4135.0
2020-04-03 05:30:00,306.55,306.55,305.5,305.5,1197.0
2020-04-03 05:29:00,306.25,306.55,306.25,306.35,612.0
2020-04-03 05:28:00,306.5,306.75,306.25,306.3,1563.0
2020-04-03 05:27:00,307.2,307.3,306.5,306.5,1296.0
2020-04-03 05:26:00,307.1,307.3,307.0,307.2,2750.0
2020-04-03 05:25:00,306.75,307.05,306.6,307.0,877.0
2020-04-03 05:24:00,306.55,306.95,306.55,306.95,636.0
2020-04-03 05:23:00,306.35,306.8,306.1,306.55,835.0
2020-04-03 05:22:00,306.65,306.85,306.1,306.3,1156.0
2020-04-03 05:21:00,306.7,306.85,306.35,306.85,1929.0
2020-04-03 05:20:00,307.2,307.25,306.0,306.55,2610.0
2020-04-03 05:19:00,307.2,307.4,307.0,307.25,3631.0
2020-04-03 05:18:00,307.0,307.2,307.0,307.15,940.0
2020-04-03 05:17:00,307.0,307.15,306.6,307.0,1977.0
2020-04-03 05:16:00,307.0,307.5,306.85,307.15,2718.0
2020-04-03 05:15:00,306.5,307.15,305.65,306.9,5155.0
2020-04-03 05:14:00,305.65,306.6,305.0,306.5,1062.0
2020-04-03 05:13:00,305.55,306.45,305.2,305.55,3079.0
2020-04-03 05:12:00,305.3,305.75,305.1,305.75,464.0
2020-04-03 05:11:00,305.55,305.55,305.0,305.0,996.0
2020-04-03 05:10:00,305.65,305.65,304.65,305.55,7088.0
2020-04-03 05:09:00,305.5,305.65,305.5,305.55,527.0
2020-04-03 05:08:00,306.4,306.4,305.5,305.5,332.0
2020-04-03 05:07:00,306.05,306.45,305.8,306.15,1090.0
2020-04-03 05:06:00,306.45,307.25,305.45,305.55,1118.0
2020-04-03 05:05:00,306.1,306.25,306.0,306.1,1244.0
2020-04-03 05:04:00,305.6,306.1,305.6,306.1,334.0
2020-04-03 05:03:00,305.1,305.8,305.0,305.6,2158.0
2020-04-03 05:02:00,306.45,306.65,305.1,305.1,2491.0
2020-04-03 05:01:00,306.2,306.65,306.15,306.45,978.0
2020-04-03 05:00:00,306.8,306.95,306.15,306.15,1501.0
2020-04-03 04:59:00,306.85,307.2,306.85,306.9,306.0
2020-04-03 04:58:00,307.35,308.0,306.45,307.0,5959.0
2020-04-03 04:57:00,306.2,307.35,306.15,307.35,3777.0
2020-04-03 04:56:00,305.25,306.4,305.0,306.2,5712.0
2020-04-03 04:55:00,305.15,305.45,305.1,305.1,501.0
2020-04-03 04:54:00,305.6,305.65,305.0,305.0,1482.0
2020-04-03 04:53:00,305.85,305.85,305.6,305.6,651.0
2020-04-03 04:52:00,305.85,305.85,305.8,305.8,305.0
2020-04-03 04:51:00,305.55,306.05,305.55,305.85,753.0
2020-04-03 04:50:00,306.45,306.6,305.65,305.65,981.0
2020-04-03 04:49:00,305.95,306.5,305.65,306.45,2487.0
2020-04-03 04:48:00,305.75,306.0,305.3,305.7,917.0
2020-04-03 04:47:00,305.05,305.95,305.0,305.75,1777.0
2020-04-03 04:46:00,305.25,305.25,305.05,305.05,357.0
2020-04-03 04:45:00,305.8,305.8,305.25,305.25,548.0
2020-04-03 04:44:00,305.2,306.0,305.05,305.8,1606.0
2020-04-03 04:43:00,305.3,305.85,305.0,305.25,3553.0
2020-04-03 04:42:00,305.1,305.4,305.0,305.2,2763.0
2020-04-03 04:41:00,305.75,305.9,305.05,305.5,4797.0
2020-04-03 04:40:00,305.5,305.8,305.5,305.75,1302.0
2020-04-03 04:39:00,307.1,307.1,305.15,305.5,14059.0
2020-04-03 04:38:00,306.55,307.1,305.75,307.1,8162.0
2020-04-03 04:37:00,307.2,307.6,306.3,306.8,3140.0
2020-04-03 04:36:00,307.25,307.55,307.0,307.2,1983.0
2020-04-03 04:35:00,308.1,308.6,307.6,307.8,1252.0
2020-04-03 04:34:00,308.0,308.35,307.1,307.9,5853.0
2020-04-03 04:33:00,308.35,308.65,308.0,308.1,1464.0
2020-04-03 04:32:00,308.15,309.0,307.3,308.35,6614.0
2020-04-03 04:31:00,308.5,308.75,308.25,308.25,798.0
2020-04-03 04:30:00,308.0,309.1,308.0,308.5,1273.0
2020-04-03 04:29:00,308.75,309.1,308.0,308.0,1955.0
2020-04-03 04:28:00,309.15,309.45,308.9,308.9,633.0
2020-04-03 04:27:00,309.25,309.5,308.8,309.0,1603.0
2020-04-03 04:26:00,308.65,309.25,308.65,309.25,1629.0
2020-04-03 04:25:00,309.65,310.0,308.55,308.65,5013.0
2020-04-03 04:24:00,309.8,310.45,309.6,309.6,1522.0
2020-04-03 04:23:00,308.65,309.85,308.5,309.6,4403.0
2020-04-03 04:22:00,308.55,308.55,307.25,308.5,3575.0
2020-04-03 04:21:00,309.5,309.6,308.0,308.55,10591.0
2020-04-03 04:20:00,310.1,310.1,308.5,309.5,5122.0
2020-04-03 04:19:00,310.6,310.85,310.0,310.05,1918.0
2020-04-03 04:18:00,310.25,310.9,310.25,310.55,3143.0
2020-04-03 04:17:00,308.8,310.7,308.4,310.7,5638.0
2020-04-03 04:16:00,308.95,309.95,308.35,308.4,4627.0
2020-04-03 04:15:00,311.6,311.6,308.9,309.45,15611.0
2020-04-03 04:14:00,312.25,312.55,311.4,311.4,2867.0
2020-04-03 04:13:00,310.75,312.45,310.75,312.1,22907.0
2020-04-03 04:12:00,310.8,311.75,310.75,310.75,10120.0
2020-04-03 04:11:00,310.5,311.15,310.3,310.75,5068.0
2020-04-03 04:10:00,311.35,311.5,310.3,310.4,11063.0
2020-04-03 04:09:00,312.5,313.1,311.35,311.4,38572.0
2020-04-03 04:08:00,311.1,312.95,311.1,312.95,18288.0
2020-04-03 04:07:00,311.0,311.45,311.0,311.2,5460.0
2020-04-03 04:06:00,310.5,311.15,310.5,311.0,5690.0
2020-04-03 04:05:00,310.1,310.85,310.0,310.5,2228.0
2020-04-03 04:04:00,307.7,310.3,307.7,310.0,7445.0
2020-04-03 04:03:00,308.15,308.4,307.5,307.7,2232.0
2020-04-03 04:02:00,308.05,308.45,308.05,308.45,1830.0
2020-04-03 04:01:00,308.1,308.35,308.0,308.05,783.0
2020-04-03 04:00:00,308.55,308.85,308.35,308.35,770.0
2020-04-03 03:59:00,308.85,308.85,308.5,308.85,578.0
2020-04-03 03:58:00,309.45,309.45,308.35,308.5,3513.0
2020-04-03 03:57:00,307.4,309.35,307.35,309.25,4498.0
2020-04-03 03:56:00,308.55,309.0,307.15,307.35,3278.0
2020-04-03 03:55:00,309.15,309.4,308.9,308.9,2022.0
2020-04-03 03:54:00,308.35,309.3,308.35,309.3,5729.0
2020-04-03 03:53:00,308.45,308.5,308.3,308.5,4541.0
2020-04-03 03:52:00,308.45,308.45,308.25,308.4,1946.0
2020-04-03 03:51:00,307.6,308.65,307.45,308.45,2211.0
2020-04-03 03:50:00,306.15,307.95,306.15,307.45,3830.0
2020-04-03 03:49:00,306.15,306.2,306.05,306.15,1370.0
2020-04-03 03:48:00,306.7,306.85,306.1,306.2,3381.0
2020-04-03 03:47:00,306.5,306.85,306.5,306.7,491.0
2020-04-03 03:46:00,306.95,307.1,305.6,306.5,6430.0
2020-04-03 03:45:00,305.35,307.25,305.05,307.05,8412.0
2020-04-03 03:44:00,305.5,305.5,305.25,305.35,619.0
2020-04-03 03:43:00,305.5,306.0,305.2,305.3,6658.0
2020-04-03 03:42:00,305.0,305.65,305.0,305.55,2153.0
2020-04-03 03:41:00,305.0,305.4,305.0,305.05,1130.0
2020-04-03 03:40:00,304.95,305.1,304.8,304.8,9964.0
2020-04-03 03:39:00,304.9,305.05,304.9,304.9,923.0
2020-04-03 03:38:00,305.0,305.1,304.95,304.95,678.0
2020-04-03 03:37:00,305.0,305.1,305.0,305.0,1931.0
2020-04-03 03:36:00,305.0,305.2,305.0,305.0,665.0
2020-04-03 03:35:00,305.0,305.0,304.9,305.0,1340.0
2020-04-03 03:34:00,304.9,304.95,304.85,304.95,82.0
2020-04-03 03:33:00,304.75,305.2,304.75,304.9,1364.0
2020-04-03 03:32:00,305.0,305.0,304.75,304.8,1031.0
2020-04-03 03:31:00,304.75,305.05,304.75,305.05,1961.0
2020-04-03 03:30:00,305.0,305.05,304.45,304.85,1736.0
2020-04-03 03:29:00,304.65,305.0,304.6,305.0,919.0
2020-04-03 03:28:00,304.85,304.9,304.7,304.7,341.0
2020-04-03 03:27:00,305.35,305.35,304.7,304.9,3009.0
2020-04-03 03:26:00,305.4,305.4,305.15,305.2,301.0
2020-04-03 03:25:00,304.6,305.1,304.6,305.1,554.0
2020-04-03 03:24:00,304.9,304.95,304.9,304.95,43.0
2020-04-03 03:23:00,304.4,305.0,304.4,304.9,1575.0
2020-04-03 03:22:00,304.6,304.6,304.2,304.2,918.0
2020-04-03 03:21:00,305.35,305.35,304.6,304.6,3337.0
2020-04-03 03:20:00,305.05,305.35,305.05,305.05,288.0
2020-04-03 03:19:00,304.95,305.2,304.7,305.05,511.0
2020-04-03 03:18:00,304.5,305.05,304.5,305.0,682.0
2020-04-03 03:17:00,305.05,305.1,304.1,304.55,3598.0
2020-04-03 03:16:00,305.5,305.55,305.05,305.05,4174.0
2020-04-03 03:15:00,305.5,305.6,305.5,305.5,78.0
2020-04-03 03:14:00,305.5,305.7,305.5,305.55,316.0
2020-04-03 03:13:00,305.5,305.5,305.5,305.5,17.0
2020-04-03 03:12:00,305.3,305.55,305.3,305.3,982.0
2020-04-03 03:11:00,305.3,305.3,305.3,305.3,917.0
2020-04-03 03:10:00,305.55,305.55,305.3,305.3,2317.0
2020-04-03 03:09:00,305.1,305.8,305.1,305.55,2392.0
2020-04-03 03:08:00,305.1,305.15,305.1,305.1,1551.0
2020-04-03 03:07:00,304.9,305.2,304.75,305.1,175.0
2020-04-03 03:06:00,304.45,304.9,304.45,304.9,1288.0
2020-04-03 03:05:00,304.45,304.5,304.35,304.5,595.0
2020-04-03 03:04:00,304.6,304.6,304.5,304.5,72.0
2020-04-03 03:03:00,304.15,304.3,304.05,304.3,578.0
2020-04-03 03:02:00,304.9,304.9,304.0,304.2,1259.0
2020-04-03 03:01:00,305.3,305.3,304.8,304.95,1507.0
2020-04-03 03:00:00,305.5,305.55,305.3,305.4,36.0
2020-04-03 02:59:00,305.6,305.65,305.3,305.3,306.0
2020-04-03 02:58:00,305.25,305.6,305.25,305.55,965.0
2020-04-03 02:57:00,305.85,306.0,305.3,305.3,913.0
2020-04-03 02:56:00,305.2,305.85,305.2,305.85,1775.0
2020-04-03 02:55:00,305.0,305.5,305.0,305.2,1697.0
2020-04-03 02:54:00,306.5,306.5,305.0,305.0,8704.0
2020-04-03 02:53:00,306.05,307.05,306.05,306.55,1807.0
2020-04-03 02:52:00,305.45,306.4,305.45,306.1,2079.0
2020-04-03 02:51:00,305.1,305.45,305.1,305.3,543.0
2020-04-03 02:50:00,305.0,305.9,304.95,305.1,1297.0
2020-04-03 02:49:00,305.15,305.15,304.85,304.95,1713.0
2020-04-03 02:48:00,305.3,305.35,305.0,305.1,1222.0
2020-04-03 02:47:00,305.15,305.85,305.1,305.3,4755.0
2020-04-03 02:46:00,305.0,305.45,304.9,305.0,5911.0
2020-04-03 02:45:00,304.85,305.0,304.85,305.0,532.0
2020-04-03 02:44:00,304.7,304.85,304.7,304.8,353.0
2020-04-03 02:43:00,304.9,305.0,304.65,304.7,1405.0
2020-04-03 02:42:00,304.75,304.9,304.05,304.7,3827.0
2020-04-03 02:41:00,305.05,305.1,304.5,304.8,1902.0
2020-04-03 02:40:00,304.9,305.55,304.85,305.05,3709.0
2020-04-03 02:39:00,305.5,305.95,304.55,305.05,7931.0
2020-04-03 02:38:00,305.45,305.65,305.45,305.5,1101.0
2020-04-03 02:37:00,305.55,305.6,305.45,305.45,1034.0
2020-04-03 02:36:00,305.35,305.8,305.35,305.5,3853.0
2020-04-03 02:35:00,305.85,305.95,305.05,305.3,2612.0
2020-04-03 02:34:00,305.85,306.15,305.65,305.85,6500.0
2020-04-03 02:33:00,305.6,305.8,305.6,305.6,867.0
2020-04-03 02:32:00,305.2,305.65,305.2,305.6,2591.0
2020-04-03 02:31:00,304.95,305.5,304.95,305.25,1800.0
2020-04-03 02:30:00,304.2,305.0,304.2,304.95,2566.0
2020-04-03 02:29:00,303.55,304.2,303.5,304.15,2968.0
2020-04-03 02:28:00,303.1,303.65,303.0,303.55,1574.0
2020-04-03 02:27:00,303.2,303.2,302.0,303.0,10022.0
2020-04-03 02:26:00,305.0,305.0,303.0,303.0,11138.0
2020-04-03 02:25:00,304.85,305.25,304.5,305.0,4765.0
2020-04-03 02:24:00,304.85,304.9,304.75,304.85,1341.0
2020-04-03 02:23:00,304.95,305.2,304.8,304.8,6517.0
2020-04-03 02:22:00,305.8,305.95,304.8,305.2,4466.0
2020-04-03 02:21:00,305.1,305.45,305.1,305.45,4335.0
2020-04-03 02:20:00,307.35,307.35,304.7,304.7,14445.0
2020-04-03 02:19:00,307.0,307.35,307.0,307.35,2227.0
2020-04-03 02:18:00,305.45,307.05,305.3,307.05,13274.0
2020-04-03 02:17:00,306.05,306.05,305.0,305.45,10133.0
2020-04-03 02:16:00,307.4,307.5,306.6,306.6,2171.0
2020-04-03 02:15:00,307.0,307.4,307.0,307.4,1070.0
2020-04-03 02:14:00,309.0,309.0,307.0,307.0,3369.0
2020-04-03 02:13:00,309.7,309.75,309.0,309.0,4241.0
2020-04-03 02:12:00,309.4,309.8,309.4,309.7,2516.0
2020-04-03 02:11:00,309.4,309.45,309.4,309.4,313.0
2020-04-03 02:10:00,309.05,309.5,309.05,309.4,1371.0
2020-04-03 02:09:00,308.9,309.2,308.9,309.0,1840.0
2020-04-03 02:08:00,308.8,309.1,308.8,308.9,701.0
2020-04-03 02:07:00,308.8,309.1,308.75,309.0,844.0
2020-04-03 02:06:00,308.65,308.75,308.5,308.75,536.0
2020-04-03 02:05:00,308.65,309.7,308.6,308.7,943.0
2020-04-03 02:04:00,309.05,309.35,308.4,308.6,3223.0
2020-04-03 02:03:00,307.05,309.1,307.05,309.1,1189.0
2020-04-03 02:02:00,307.0,307.25,307.0,307.1,240.0
2020-04-03 02:01:00,307.0,307.15,307.0,307.15,868.0
2020-04-03 02:00:00,307.7,307.7,307.0,307.0,2548.0
2020-04-03 01:59:00,308.05,308.15,307.45,307.5,2589.0
2020-04-03 01:58:00,308.35,308.35,308.0,308.0,2567.0
2020-04-03 01:57:00,308.15,308.35,308.1,308.3,390.0
2020-04-03 01:56:00,307.45,308.7,307.2,308.25,4546.0
2020-04-03 01:55:00,308.0,308.3,307.2,307.5,3298.0
2020-04-03 01:54:00,307.35,308.05,307.35,308.0,1704.0
2020-04-03 01:53:00,308.6,308.6,307.2,307.25,7940.0
2020-04-03 01:52:00,308.35,309.65,308.3,308.65,2495.0
2020-04-03 01:51:00,309.85,309.9,308.25,308.5,3722.0
2020-04-03 01:50:00,309.9,310.45,309.8,309.8,1524.0
2020-04-03 01:49:00,311.1,311.1,309.75,309.9,2884.0
