date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 04:30:11,375.65,375.65,375.65,375.65,0.0
2020-04-03 04:29:00,376.2,376.4,376.05,376.15,26990.0
2020-04-03 04:28:00,375.25,376.35,375.0,376.1,42594.0
2020-04-03 04:27:00,375.35,375.6,375.0,375.15,27976.0
2020-04-03 04:26:00,375.6,375.75,375.0,375.5,65550.0
2020-04-03 04:25:00,375.9,376.1,375.5,375.65,33439.0
2020-04-03 04:24:00,376.35,376.45,375.65,375.85,54400.0
2020-04-03 04:23:00,376.5,376.75,376.3,376.3,30811.0
2020-04-03 04:22:00,376.55,376.7,376.35,376.6,41315.0
2020-04-03 04:21:00,377.05,377.05,376.5,376.6,39002.0
2020-04-03 04:20:00,377.9,377.9,377.0,377.0,38603.0
2020-04-03 04:19:00,377.85,378.0,377.5,377.75,22473.0
2020-04-03 04:18:00,378.05,378.15,377.7,377.9,43030.0
2020-04-03 04:17:00,377.65,378.5,377.45,378.15,26415.0
2020-04-03 04:16:00,377.7,377.75,377.4,377.75,36171.0
2020-04-03 04:15:00,377.95,378.05,377.7,377.7,20544.0
2020-04-03 04:14:00,377.75,378.5,377.75,378.0,44372.0
2020-04-03 04:13:00,378.75,379.1,377.7,377.95,42347.0
2020-04-03 04:12:00,379.2,379.7,378.65,378.9,91199.0
2020-04-03 04:11:00,378.0,378.85,377.85,378.5,38411.0
2020-04-03 04:10:00,377.65,378.25,377.65,378.2,35033.0
2020-04-03 04:09:00,378.65,378.65,377.4,377.65,47884.0
2020-04-03 04:08:00,377.8,378.95,377.75,378.65,45072.0
2020-04-03 04:07:00,377.55,378.1,377.1,377.9,35178.0
2020-04-03 04:06:00,376.9,378.5,376.9,377.55,60651.0
2020-04-03 04:05:00,376.7,376.9,376.3,376.9,23181.0
2020-04-03 04:04:00,376.4,376.95,376.2,376.7,19890.0
2020-04-03 04:03:00,377.0,377.15,376.15,376.15,25633.0
2020-04-03 04:02:00,377.8,377.8,377.0,377.1,24978.0
2020-04-03 04:01:00,377.5,378.1,376.95,377.8,82361.0
2020-04-03 04:00:00,376.35,377.8,376.3,377.6,44991.0
2020-04-03 03:59:00,376.25,376.5,376.1,376.35,15575.0
2020-04-03 03:58:00,376.35,376.8,376.2,376.3,18490.0
2020-04-03 03:57:00,376.25,376.5,375.8,376.5,34544.0
2020-04-03 03:56:00,375.65,376.35,375.65,376.25,20938.0
2020-04-03 03:55:00,376.1,376.15,375.35,375.55,35802.0
2020-04-03 03:54:00,376.65,376.65,376.0,376.2,40084.0
2020-04-03 03:53:00,376.35,376.85,376.25,376.7,20942.0
2020-04-03 03:52:00,376.85,376.9,376.35,376.4,22427.0
2020-04-03 03:51:00,377.35,377.5,376.85,376.9,18286.0
2020-04-03 03:50:00,376.5,377.55,376.5,377.45,33208.0
2020-04-03 03:49:00,376.35,376.6,376.2,376.55,15634.0
2020-04-03 03:48:00,376.35,376.75,376.3,376.35,16235.0
2020-04-03 03:47:00,376.5,376.6,376.25,376.4,29135.0
2020-04-03 03:46:00,376.5,376.75,376.25,376.6,30041.0
2020-04-03 03:45:00,377.3,377.35,376.5,376.5,20927.0
2020-04-03 03:44:00,377.0,377.9,377.0,377.45,37156.0
2020-04-03 03:43:00,376.6,376.9,376.25,376.9,25352.0
2020-04-03 03:42:00,376.65,376.8,376.5,376.6,23097.0
2020-04-03 03:41:00,377.05,377.05,376.6,376.75,40166.0
2020-04-03 03:40:00,377.35,377.8,377.1,377.2,23346.0
2020-04-03 03:39:00,377.3,377.9,377.3,377.45,28789.0
2020-04-03 03:38:00,378.0,378.2,377.05,377.3,37491.0
2020-04-03 03:37:00,378.75,379.0,377.65,377.95,68943.0
2020-04-03 03:36:00,377.5,378.85,377.35,378.85,56755.0
2020-04-03 03:35:00,376.95,378.05,376.8,377.35,106188.0
2020-04-03 03:34:00,376.0,377.0,375.75,377.0,54995.0
2020-04-03 03:33:00,374.55,376.0,374.55,376.0,63663.0
2020-04-03 03:32:00,374.6,374.9,374.4,374.65,34369.0
2020-04-03 03:31:00,374.7,375.0,374.35,374.35,46999.0
2020-04-03 03:30:00,374.7,374.7,374.7,374.7,62027.0
2020-04-03 03:29:00,375.5,375.75,375.1,375.15,38245.0
2020-04-03 03:28:00,375.85,376.4,375.5,375.55,27502.0
2020-04-03 03:27:00,376.25,376.25,375.25,375.75,40259.0
2020-04-03 03:26:00,376.3,377.05,376.3,376.5,50204.0
2020-04-03 03:25:00,375.45,376.65,375.35,376.35,29071.0
2020-04-03 03:24:00,376.45,376.6,375.3,375.45,39117.0
2020-04-03 03:23:00,375.9,376.5,375.9,376.45,33522.0
2020-04-03 03:22:00,374.8,376.75,374.8,375.7,61840.0
2020-04-03 03:21:00,374.8,375.3,374.6,374.6,56270.0
2020-04-03 03:20:00,375.55,375.55,374.5,374.95,81547.0
2020-04-03 03:19:00,375.7,376.85,375.2,375.55,53392.0
2020-04-03 03:18:00,375.7,376.05,375.55,375.75,42650.0
2020-04-03 03:17:00,377.0,377.0,375.3,375.65,104692.0
2020-04-03 03:16:00,377.0,377.55,376.5,376.8,51604.0
2020-04-03 03:15:00,377.7,377.95,377.0,377.15,46523.0
2020-04-03 03:14:00,377.95,378.15,377.5,377.8,24072.0
2020-04-03 03:13:00,378.4,378.45,377.5,378.0,42453.0
2020-04-03 03:12:00,378.95,379.55,378.2,378.4,40046.0
2020-04-03 03:11:00,379.3,379.75,377.65,379.05,86069.0
2020-04-03 03:10:00,377.75,379.25,377.5,379.25,89913.0
2020-04-03 03:09:00,377.3,377.9,377.15,377.6,52982.0
2020-04-03 03:08:00,377.7,377.8,376.95,377.4,70789.0
2020-04-03 03:07:00,378.25,378.5,377.3,377.7,72409.0
2020-04-03 03:06:00,378.1,378.8,377.75,378.4,59028.0
2020-04-03 03:05:00,377.7,379.8,377.45,378.1,132953.0
2020-04-03 03:04:00,376.85,378.05,376.5,377.7,93171.0
2020-04-03 03:03:00,375.3,376.8,375.1,376.8,49171.0
2020-04-03 03:02:00,375.95,376.25,375.05,375.3,68698.0
2020-04-03 03:01:00,373.7,376.4,373.5,376.2,120083.0
2020-04-03 03:00:00,375.63,376.23,373.43,373.43,221020.0
2020-04-03 02:59:00,376.4,376.6,375.45,375.6,101488.0
2020-04-03 02:58:00,377.2,378.6,376.3,376.3,102135.0
2020-04-03 02:57:00,378.65,378.9,376.1,376.3,189006.0
2020-04-03 02:56:00,380.7,380.7,378.7,378.9,64819.0
2020-04-03 02:55:00,379.3,381.5,378.8,380.7,83591.0
2020-04-03 02:54:00,381.4,381.6,378.35,379.4,165973.0
2020-04-03 02:53:00,382.1,382.9,381.25,381.5,79142.0
2020-04-03 02:52:00,382.85,383.2,382.0,382.0,43063.0
2020-04-03 02:51:00,382.8,383.5,382.55,382.7,96310.0
2020-04-03 02:50:00,381.35,383.05,381.2,382.5,115864.0
2020-04-03 02:49:00,380.8,382.3,380.8,381.35,93257.0
2020-04-03 02:48:00,382.7,382.7,380.4,380.55,128649.0
2020-04-03 02:47:00,382.5,383.8,382.0,382.55,154814.0
2020-04-03 02:46:00,381.95,384.9,381.9,382.75,259637.0
2020-04-03 02:45:00,377.9,385.4,377.9,381.7,497869.0
2020-04-03 02:44:00,377.9,377.9,377.9,377.9,8605.0
2020-04-03 02:43:00,377.9,377.9,377.9,377.9,6773.0
2020-04-03 02:42:00,377.9,377.9,377.9,377.9,8329.0
2020-04-03 02:41:00,377.9,377.9,377.9,377.9,10857.0
2020-04-03 02:40:00,377.9,377.9,377.9,377.9,11837.0
2020-04-03 02:39:00,377.9,377.9,377.9,377.9,10962.0
2020-04-03 02:38:00,377.9,377.9,377.9,377.9,9979.0
2020-04-03 02:37:00,377.9,377.9,377.9,377.9,14807.0
2020-04-03 02:36:00,377.9,377.9,377.9,377.9,16160.0
2020-04-03 02:35:00,377.9,377.9,377.9,377.9,14444.0
2020-04-03 02:34:00,377.9,377.9,377.9,377.9,13796.0
2020-04-03 02:33:00,377.9,377.9,377.9,377.9,16716.0
2020-04-03 02:32:00,377.9,377.9,377.9,377.9,47564.0
2020-04-03 02:31:00,377.9,377.9,377.9,377.9,35771.0
2020-04-03 02:30:00,376.05,377.9,376.0,377.9,206888.0
2020-04-03 02:29:00,376.0,376.35,375.85,376.05,90693.0
2020-04-03 02:28:00,374.35,376.85,374.15,375.8,296276.0
2020-04-03 02:27:00,373.6,374.5,373.55,374.35,52907.0
2020-04-03 02:26:00,374.85,374.85,373.5,373.6,72015.0
2020-04-03 02:25:00,373.7,374.7,373.0,374.6,125180.0
2020-04-03 02:24:00,373.5,373.6,372.75,373.55,85379.0
2020-04-03 02:23:00,371.9,373.65,371.85,373.65,98769.0
2020-04-03 02:22:00,371.9,372.7,371.3,371.7,97053.0
2020-04-03 02:21:00,369.9,372.0,369.75,371.85,85980.0
2020-04-03 02:20:00,370.0,370.35,369.6,369.9,38960.0
2020-04-03 02:19:00,370.2,370.2,369.3,369.45,35643.0
2020-04-03 02:18:00,369.15,370.1,369.15,369.6,30236.0
2020-04-03 02:17:00,369.35,369.5,369.0,369.15,29613.0
2020-04-03 02:16:00,370.55,370.55,369.4,369.55,15755.0
2020-04-03 02:15:00,370.3,370.95,370.3,370.6,19196.0
2020-04-03 02:14:00,369.3,370.35,369.0,370.1,47036.0
2020-04-03 02:13:00,370.5,370.5,368.95,369.05,46153.0
2020-04-03 02:12:00,371.35,371.65,370.35,370.6,31603.0
2020-04-03 02:11:00,371.2,371.85,371.0,371.7,94288.0
2020-04-03 02:10:00,369.25,370.9,369.25,370.9,74669.0
2020-04-03 02:09:00,369.0,369.5,368.85,368.85,34862.0
2020-04-03 02:08:00,370.0,370.05,369.1,369.35,56278.0
2020-04-03 02:07:00,370.1,370.5,370.0,370.0,24952.0
2020-04-03 02:06:00,370.85,371.1,370.1,370.45,51962.0
2020-04-03 02:05:00,370.7,372.4,370.65,371.0,123141.0
2020-04-03 02:04:00,370.55,371.0,370.0,371.0,39392.0
2020-04-03 02:03:00,369.4,372.0,369.3,370.35,143304.0
2020-04-03 02:02:00,366.35,369.75,366.2,369.45,110352.0
2020-04-03 02:01:00,367.2,367.65,366.0,366.2,68721.0
2020-04-03 02:00:00,367.58,368.43,367.03,367.18,54677.0
2020-04-03 01:59:00,368.2,368.25,366.3,367.85,90978.0
2020-04-03 01:58:00,369.55,369.65,368.15,368.25,35078.0
2020-04-03 01:57:00,368.45,369.65,368.0,369.55,83446.0
2020-04-03 01:56:00,370.65,370.7,368.55,368.65,56942.0
2020-04-03 01:55:00,370.4,371.4,370.15,370.5,60027.0
2020-04-03 01:54:00,370.0,370.5,370.0,370.25,30584.0
2020-04-03 01:53:00,368.4,370.7,368.4,370.0,80732.0
2020-04-03 01:52:00,371.0,371.45,367.85,368.7,141794.0
2020-04-03 01:51:00,372.65,372.8,370.1,371.0,72097.0
2020-04-03 01:50:00,371.6,373.55,371.6,372.7,116714.0
2020-04-03 01:49:00,372.05,372.95,370.9,371.35,111982.0
2020-04-03 01:48:00,371.6,372.75,371.0,372.2,184019.0
2020-04-03 01:47:00,375.15,375.3,371.65,371.65,473951.0
2020-04-03 01:46:00,371.9,375.85,371.65,375.8,417483.0
2020-04-03 01:45:00,369.15,371.8,368.6,371.8,286370.0
2020-04-03 01:44:00,365.45,369.55,365.0,369.55,213146.0
2020-04-03 01:43:00,364.6,365.55,364.5,365.35,70728.0
2020-04-03 01:42:00,364.5,364.75,364.1,364.7,53357.0
2020-04-03 01:41:00,362.15,364.8,362.15,364.6,194422.0
2020-04-03 01:40:00,362.0,362.5,362.0,362.1,28042.0
2020-04-03 01:39:00,361.95,362.3,361.5,362.0,41747.0
2020-04-03 01:38:00,362.2,362.2,361.65,361.95,23807.0
2020-04-03 01:37:00,362.25,362.45,361.6,362.0,31773.0
2020-04-03 01:36:00,361.1,362.4,361.1,362.4,36584.0
