date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,140.25,140.25,140.25,140.25,9.0
2020-04-03 05:58:00,140.25,140.25,140.25,140.25,5112.0
2020-04-03 05:57:00,140.25,140.25,140.25,140.25,197.0
2020-04-03 05:56:00,140.25,140.25,140.25,140.25,115.0
2020-04-03 05:55:00,140.25,140.25,140.25,140.25,315.0
2020-04-03 05:54:00,140.25,140.25,140.25,140.25,59.0
2020-04-03 05:53:00,140.25,140.25,140.25,140.25,46.0
2020-04-03 05:52:00,140.25,140.25,140.25,140.25,470.0
2020-04-03 05:51:00,140.25,140.25,140.25,140.25,170.0
2020-04-03 05:50:00,140.25,140.25,140.25,140.25,276.0
2020-04-03 05:49:00,140.25,140.25,140.25,140.25,194.0
2020-04-03 05:48:00,140.25,140.25,140.25,140.25,191.0
2020-04-03 05:47:00,140.25,140.25,140.25,140.25,132.0
2020-04-03 05:46:00,140.25,140.25,140.25,140.25,124.0
2020-04-03 05:45:00,140.25,140.25,140.25,140.25,691.0
2020-04-03 05:44:00,140.25,140.25,140.25,140.25,10.0
2020-04-03 05:43:00,140.25,140.25,140.25,140.25,181.0
2020-04-03 05:42:00,140.25,140.25,140.25,140.25,146.0
2020-04-03 05:40:00,140.25,140.25,140.25,140.25,439.0
2020-04-03 05:39:00,140.25,140.25,140.25,140.25,164.0
2020-04-03 05:38:00,140.25,140.25,140.25,140.25,100.0
2020-04-03 05:37:00,140.25,140.25,140.25,140.25,47.0
2020-04-03 05:36:00,140.25,140.25,140.25,140.25,392.0
2020-04-03 05:35:00,140.25,140.25,140.25,140.25,106.0
2020-04-03 05:34:00,140.25,140.25,140.25,140.25,10.0
2020-04-03 05:33:00,140.25,140.25,140.25,140.25,467.0
2020-04-03 05:32:00,140.25,140.25,140.25,140.25,99.0
2020-04-03 05:31:00,140.25,140.25,140.25,140.25,200.0
2020-04-03 05:30:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 05:29:00,140.25,140.25,140.25,140.25,242.0
2020-04-03 05:28:00,140.25,140.25,140.25,140.25,196.0
2020-04-03 05:27:00,140.25,140.25,140.25,140.25,179.0
2020-04-03 05:26:00,140.25,140.25,140.25,140.25,335.0
2020-04-03 05:25:00,140.25,140.25,140.25,140.25,23.0
2020-04-03 05:24:00,140.25,140.25,140.25,140.25,195.0
2020-04-03 05:23:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 05:22:00,140.25,140.25,140.25,140.25,73.0
2020-04-03 05:21:00,140.25,140.25,140.25,140.25,114.0
2020-04-03 05:20:00,140.25,140.25,140.25,140.25,328.0
2020-04-03 05:18:00,140.25,140.25,140.25,140.25,69.0
2020-04-03 05:17:00,140.25,140.25,140.25,140.25,105.0
2020-04-03 05:16:00,140.25,140.25,140.25,140.25,861.0
2020-04-03 05:14:00,140.25,140.25,140.25,140.25,270.0
2020-04-03 05:13:00,140.25,140.25,140.25,140.25,67.0
2020-04-03 05:12:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 05:11:00,140.25,140.25,140.25,140.25,1739.0
2020-04-03 05:10:00,140.25,140.25,140.25,140.25,95.0
2020-04-03 05:09:00,140.25,140.25,140.25,140.25,181.0
2020-04-03 05:08:00,140.25,140.25,140.25,140.25,158.0
2020-04-03 05:07:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 05:06:00,140.25,140.25,140.25,140.25,62.0
2020-04-03 05:05:00,140.25,140.25,140.25,140.25,357.0
2020-04-03 05:04:00,140.25,140.25,140.25,140.25,147.0
2020-04-03 05:02:00,140.25,140.25,140.25,140.25,98.0
2020-04-03 05:00:00,140.25,140.25,140.25,140.25,55.0
2020-04-03 04:59:00,140.25,140.25,140.25,140.25,152.0
2020-04-03 04:58:00,140.25,140.25,140.25,140.25,115.0
2020-04-03 04:57:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 04:56:00,140.25,140.25,140.25,140.25,396.0
2020-04-03 04:55:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 04:54:00,140.25,140.25,140.25,140.25,284.0
2020-04-03 04:53:00,140.25,140.25,140.25,140.25,22.0
2020-04-03 04:52:00,140.25,140.25,140.25,140.25,253.0
2020-04-03 04:51:00,140.25,140.25,140.25,140.25,7.0
2020-04-03 04:50:00,140.25,140.25,140.25,140.25,14.0
2020-04-03 04:49:00,140.25,140.25,140.25,140.25,233.0
2020-04-03 04:48:00,140.25,140.25,140.25,140.25,631.0
2020-04-03 04:47:00,140.25,140.25,140.25,140.25,198.0
2020-04-03 04:46:00,140.25,140.25,140.25,140.25,132.0
2020-04-03 04:45:00,140.25,140.25,140.25,140.25,543.0
2020-04-03 04:44:00,140.25,140.25,140.25,140.25,147.0
2020-04-03 04:43:00,140.25,140.25,140.25,140.25,140.0
2020-04-03 04:42:00,140.25,140.25,140.25,140.25,971.0
2020-04-03 04:41:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 04:40:00,140.25,140.25,140.25,140.25,139.0
2020-04-03 04:39:00,140.25,140.25,140.25,140.25,17.0
2020-04-03 04:38:00,140.25,140.25,140.25,140.25,96.0
2020-04-03 04:37:00,140.25,140.25,140.25,140.25,110.0
2020-04-03 04:36:00,140.25,140.25,140.25,140.25,34.0
2020-04-03 04:35:00,140.25,140.25,140.25,140.25,138.0
2020-04-03 04:34:00,140.25,140.25,140.25,140.25,113.0
2020-04-03 04:33:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 04:32:00,140.25,140.25,140.25,140.25,215.0
2020-04-03 04:31:00,140.25,140.25,140.25,140.25,28.0
2020-04-03 04:30:00,140.25,140.25,140.25,140.25,64.0
2020-04-03 04:28:00,140.25,140.25,140.25,140.25,2.0
2020-04-03 04:27:00,140.25,140.25,140.25,140.25,65.0
2020-04-03 04:26:00,140.25,140.25,140.25,140.25,215.0
2020-04-03 04:25:00,140.25,140.25,140.25,140.25,1.0
2020-04-03 04:24:00,140.25,140.25,140.25,140.25,141.0
2020-04-03 04:23:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 04:22:00,140.25,140.25,140.25,140.25,1.0
2020-04-03 04:21:00,140.25,140.25,140.25,140.25,277.0
2020-04-03 04:20:00,140.25,140.25,140.25,140.25,123.0
2020-04-03 04:19:00,140.25,140.25,140.25,140.25,122.0
2020-04-03 04:18:00,140.25,140.25,140.25,140.25,84.0
2020-04-03 04:16:00,140.25,140.25,140.25,140.25,123.0
2020-04-03 04:15:00,140.25,140.25,140.25,140.25,51.0
2020-04-03 04:14:00,140.25,140.25,140.25,140.25,88.0
2020-04-03 04:13:00,140.25,140.25,140.25,140.25,40.0
2020-04-03 04:12:00,140.25,140.25,140.25,140.25,26.0
2020-04-03 04:11:00,140.25,140.25,140.25,140.25,135.0
2020-04-03 04:10:00,140.25,140.25,140.25,140.25,113.0
2020-04-03 04:09:00,140.25,140.25,140.25,140.25,22.0
2020-04-03 04:08:00,140.25,140.25,140.25,140.25,83.0
2020-04-03 04:06:00,140.25,140.25,140.25,140.25,76.0
2020-04-03 04:05:00,140.25,140.25,140.25,140.25,88.0
2020-04-03 04:04:00,140.25,140.25,140.25,140.25,130.0
2020-04-03 04:03:00,140.25,140.25,140.25,140.25,12.0
2020-04-03 04:02:00,140.25,140.25,140.25,140.25,23.0
2020-04-03 04:01:00,140.25,140.25,140.25,140.25,28.0
2020-04-03 04:00:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:59:00,140.25,140.25,140.25,140.25,373.0
2020-04-03 03:58:00,140.25,140.25,140.25,140.25,34.0
2020-04-03 03:56:00,140.25,140.25,140.25,140.25,73.0
2020-04-03 03:55:00,140.25,140.25,140.25,140.25,340.0
2020-04-03 03:54:00,140.25,140.25,140.25,140.25,126.0
2020-04-03 03:53:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:52:00,140.25,140.25,140.25,140.25,45.0
2020-04-03 03:50:00,140.25,140.25,140.25,140.25,30.0
2020-04-03 03:49:00,140.25,140.25,140.25,140.25,201.0
2020-04-03 03:48:00,140.25,140.25,140.25,140.25,110.0
2020-04-03 03:47:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:46:00,140.25,140.25,140.25,140.25,18.0
2020-04-03 03:45:00,140.25,140.25,140.25,140.25,163.0
2020-04-03 03:44:00,140.25,140.25,140.25,140.25,102.0
2020-04-03 03:42:00,140.25,140.25,140.25,140.25,25.0
2020-04-03 03:41:00,140.25,140.25,140.25,140.25,164.0
2020-04-03 03:40:00,140.25,140.25,140.25,140.25,65.0
2020-04-03 03:38:00,140.25,140.25,140.25,140.25,419.0
2020-04-03 03:37:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:36:00,140.25,140.25,140.25,140.25,72.0
2020-04-03 03:34:00,140.25,140.25,140.25,140.25,31.0
2020-04-03 03:33:00,140.25,140.25,140.25,140.25,127.0
2020-04-03 03:32:00,140.25,140.25,140.25,140.25,115.0
2020-04-03 03:31:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:30:00,140.25,140.25,140.25,140.25,46.0
2020-04-03 03:28:00,140.25,140.25,140.25,140.25,256.0
2020-04-03 03:27:00,140.25,140.25,140.25,140.25,25.0
2020-04-03 03:26:00,140.25,140.25,140.25,140.25,101.0
2020-04-03 03:25:00,140.25,140.25,140.25,140.25,142.0
2020-04-03 03:24:00,140.25,140.25,140.25,140.25,145.0
2020-04-03 03:22:00,140.25,140.25,140.25,140.25,78.0
2020-04-03 03:20:00,140.25,140.25,140.25,140.25,110.0
2020-04-03 03:19:00,140.25,140.25,140.25,140.25,198.0
2020-04-03 03:18:00,140.25,140.25,140.25,140.25,136.0
2020-04-03 03:17:00,140.25,140.25,140.25,140.25,209.0
2020-04-03 03:14:00,140.25,140.25,140.25,140.25,105.0
2020-04-03 03:13:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 03:12:00,140.25,140.25,140.25,140.25,165.0
2020-04-03 03:10:00,140.25,140.25,140.25,140.25,28.0
2020-04-03 03:09:00,140.25,140.25,140.25,140.25,1035.0
2020-04-03 03:08:00,140.25,140.25,140.25,140.25,125.0
2020-04-03 03:07:00,140.25,140.25,140.25,140.25,17.0
2020-04-03 03:06:00,140.25,140.25,140.25,140.25,91.0
2020-04-03 03:05:00,140.25,140.25,140.25,140.25,27.0
2020-04-03 03:04:00,140.25,140.25,140.25,140.25,81.0
2020-04-03 03:02:00,140.25,140.25,140.25,140.25,203.0
2020-04-03 03:01:00,140.25,140.25,140.25,140.25,17.0
2020-04-03 03:00:00,140.25,140.25,140.25,140.25,5.0
2020-04-03 02:59:00,140.25,140.25,140.25,140.25,205.0
2020-04-03 02:58:00,140.25,140.25,140.25,140.25,99.0
2020-04-03 02:57:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:56:00,140.25,140.25,140.25,140.25,56.0
2020-04-03 02:55:00,140.25,140.25,140.25,140.25,233.0
2020-04-03 02:54:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:53:00,140.25,140.25,140.25,140.25,171.0
2020-04-03 02:52:00,140.25,140.25,140.25,140.25,102.0
2020-04-03 02:50:00,140.25,140.25,140.25,140.25,29.0
2020-04-03 02:49:00,140.25,140.25,140.25,140.25,414.0
2020-04-03 02:48:00,140.25,140.25,140.25,140.25,34.0
2020-04-03 02:46:00,140.25,140.25,140.25,140.25,287.0
2020-04-03 02:44:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:43:00,140.25,140.25,140.25,140.25,148.0
2020-04-03 02:42:00,140.25,140.25,140.25,140.25,39.0
2020-04-03 02:40:00,140.25,140.25,140.25,140.25,96.0
2020-04-03 02:39:00,140.25,140.25,140.25,140.25,5.0
2020-04-03 02:38:00,140.25,140.25,140.25,140.25,205.0
2020-04-03 02:37:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:36:00,140.25,140.25,140.25,140.25,153.0
2020-04-03 02:34:00,140.25,140.25,140.25,140.25,132.0
2020-04-03 02:32:00,140.25,140.25,140.25,140.25,111.0
2020-04-03 02:30:00,140.25,140.25,140.25,140.25,300.0
2020-04-03 02:29:00,140.25,140.25,140.25,140.25,198.0
2020-04-03 02:28:00,140.25,140.25,140.25,140.25,56.0
2020-04-03 02:26:00,140.25,140.25,140.25,140.25,95.0
2020-04-03 02:25:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:24:00,140.25,140.25,140.25,140.25,112.0
2020-04-03 02:23:00,140.25,140.25,140.25,140.25,821.0
2020-04-03 02:22:00,140.25,140.25,140.25,140.25,152.0
2020-04-03 02:21:00,140.25,140.25,140.25,140.25,119.0
2020-04-03 02:20:00,140.25,140.25,140.25,140.25,80.0
2020-04-03 02:19:00,140.25,140.25,140.25,140.25,124.0
2020-04-03 02:18:00,140.25,140.25,140.25,140.25,78.0
2020-04-03 02:17:00,140.25,140.25,140.25,140.25,8.0
2020-04-03 02:16:00,140.25,140.25,140.25,140.25,60.0
2020-04-03 02:15:00,140.25,140.25,140.25,140.25,156.0
2020-04-03 02:14:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:13:00,140.25,140.25,140.25,140.25,761.0
2020-04-03 02:12:00,140.25,140.25,140.25,140.25,52.0
2020-04-03 02:10:00,140.25,140.25,140.25,140.25,61.0
2020-04-03 02:09:00,140.25,140.25,140.25,140.25,17.0
2020-04-03 02:08:00,140.25,140.25,140.25,140.25,184.0
2020-04-03 02:07:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:06:00,140.25,140.25,140.25,140.25,79.0
2020-04-03 02:05:00,140.25,140.25,140.25,140.25,3.0
2020-04-03 02:04:00,140.25,140.25,140.25,140.25,184.0
2020-04-03 02:03:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:02:00,140.25,140.25,140.25,140.25,457.0
2020-04-03 02:01:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 02:00:00,140.25,140.25,140.25,140.25,136.0
2020-04-03 01:59:00,140.25,140.25,140.25,140.25,34.0
2020-04-03 01:58:00,140.25,140.25,140.25,140.25,77.0
2020-04-03 01:57:00,140.25,140.25,140.25,140.25,74.0
2020-04-03 01:56:00,140.25,140.25,140.25,140.25,134.0
2020-04-03 01:54:00,140.25,140.25,140.25,140.25,105.0
2020-04-03 01:52:00,140.25,140.25,140.25,140.25,14.0
2020-04-03 01:51:00,140.25,140.25,140.25,140.25,63.0
2020-04-03 01:50:00,140.25,140.25,140.25,140.25,238.0
2020-04-03 01:49:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:48:00,140.25,140.25,140.25,140.25,110.0
2020-04-03 01:47:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:46:00,140.25,140.25,140.25,140.25,77.0
2020-04-03 01:44:00,140.25,140.25,140.25,140.25,148.0
2020-04-03 01:42:00,140.25,140.25,140.25,140.25,109.0
2020-04-03 01:40:00,140.25,140.25,140.25,140.25,59.0
2020-04-03 01:39:00,140.25,140.25,140.25,140.25,170.0
2020-04-03 01:38:00,140.25,140.25,140.25,140.25,149.0
2020-04-03 01:36:00,140.25,140.25,140.25,140.25,69.0
2020-04-03 01:35:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:34:00,140.25,140.25,140.25,140.25,20.0
2020-04-03 01:33:00,140.25,140.25,140.25,140.25,232.0
2020-04-03 01:32:00,140.25,140.25,140.25,140.25,31.0
2020-04-03 01:30:00,140.25,140.25,140.25,140.25,123.0
2020-04-03 01:28:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:27:00,140.25,140.25,140.25,140.25,153.0
2020-04-03 01:26:00,140.25,140.25,140.25,140.25,248.0
2020-04-03 01:25:00,140.25,140.25,140.25,140.25,29.0
2020-04-03 01:24:00,140.25,140.25,140.25,140.25,277.0
2020-04-03 01:23:00,140.25,140.25,140.25,140.25,112.0
2020-04-03 01:22:00,140.25,140.25,140.25,140.25,48.0
2020-04-03 01:21:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:20:00,140.25,140.25,140.25,140.25,75.0
2020-04-03 01:19:00,140.25,140.25,140.25,140.25,136.0
2020-04-03 01:18:00,140.25,140.25,140.25,140.25,184.0
2020-04-03 01:17:00,140.25,140.25,140.25,140.25,45.0
2020-04-03 01:16:00,140.25,140.25,140.25,140.25,470.0
2020-04-03 01:15:00,140.25,140.25,140.25,140.25,42.0
2020-04-03 01:14:00,140.25,140.25,140.25,140.25,52.0
2020-04-03 01:13:00,140.25,140.25,140.25,140.25,220.0
2020-04-03 01:12:00,140.25,140.25,140.25,140.25,19.0
2020-04-03 01:10:00,140.25,140.25,140.25,140.25,140.0
2020-04-03 01:09:00,140.25,140.25,140.25,140.25,428.0
2020-04-03 01:08:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 01:07:00,140.25,140.25,140.25,140.25,195.0
2020-04-03 01:06:00,140.25,140.25,140.25,140.25,167.0
2020-04-03 01:05:00,140.25,140.25,140.25,140.25,45.0
2020-04-03 01:04:00,140.25,140.25,140.25,140.25,145.0
2020-04-03 01:03:00,140.25,140.25,140.25,140.25,1.0
2020-04-03 01:02:00,140.25,140.25,140.25,140.25,261.0
2020-04-03 01:01:00,140.25,140.25,140.25,140.25,8.0
2020-04-03 01:00:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:58:00,140.25,140.25,140.25,140.25,1807.0
2020-04-03 00:57:00,140.25,140.25,140.25,140.25,117.0
2020-04-03 00:56:00,140.25,140.25,140.25,140.25,107.0
2020-04-03 00:55:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:54:00,140.25,140.25,140.25,140.25,355.0
2020-04-03 00:53:00,140.25,140.25,140.25,140.25,174.0
2020-04-03 00:52:00,140.25,140.25,140.25,140.25,219.0
2020-04-03 00:51:00,140.25,140.25,140.25,140.25,1.0
2020-04-03 00:50:00,140.25,140.25,140.25,140.25,651.0
2020-04-03 00:49:00,140.25,140.25,140.25,140.25,852.0
2020-04-03 00:48:00,140.25,140.25,140.25,140.25,144.0
2020-04-03 00:47:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:46:00,140.25,140.25,140.25,140.25,89.0
2020-04-03 00:45:00,140.25,140.25,140.25,140.25,116.0
2020-04-03 00:44:00,140.25,140.25,140.25,140.25,489.0
2020-04-03 00:43:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:42:00,140.25,140.25,140.25,140.25,89.0
2020-04-03 00:41:00,140.25,140.25,140.25,140.25,251.0
2020-04-03 00:40:00,140.25,140.25,140.25,140.25,31.0
2020-04-03 00:39:00,140.25,140.25,140.25,140.25,16.0
2020-04-03 00:38:00,140.25,140.25,140.25,140.25,265.0
2020-04-03 00:37:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:36:00,140.25,140.25,140.25,140.25,51.0
2020-04-03 00:35:00,140.25,140.25,140.25,140.25,181.0
2020-04-03 00:34:00,140.25,140.25,140.25,140.25,153.0
2020-04-03 00:33:00,140.25,140.25,140.25,140.25,0.0
2020-04-03 00:32:00,140.25,140.25,140.25,140.25,677.0
