date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,55.0,55.05,54.85,54.85,140.0
2020-04-03 05:58:00,55.0,55.45,55.0,55.0,557.0
2020-04-03 05:57:00,55.0,55.05,55.0,55.05,56.0
2020-04-03 05:56:00,55.2,55.25,55.0,55.05,748.0
2020-04-03 05:55:00,55.0,55.2,55.0,55.2,266.0
2020-04-03 05:54:00,55.25,55.25,55.0,55.0,592.0
2020-04-03 05:53:00,55.25,55.25,55.25,55.25,541.0
2020-04-03 05:52:00,55.25,55.25,55.25,55.25,211.0
2020-04-03 05:51:00,55.0,55.15,55.0,55.15,289.0
2020-04-03 05:50:00,54.9,55.0,54.9,55.0,80.0
2020-04-03 05:49:00,54.75,54.85,54.75,54.85,68.0
2020-04-03 05:48:00,54.7,54.9,54.7,54.9,0.0
2020-04-03 05:47:00,54.5,54.5,54.5,54.5,419.0
2020-04-03 05:46:00,55.0,55.0,54.05,54.05,2174.0
2020-04-03 05:44:00,54.9,55.1,54.9,55.1,215.0
2020-04-03 05:43:00,54.85,54.85,54.85,54.85,0.0
2020-04-03 05:42:00,54.7,55.05,54.7,55.05,946.0
2020-04-03 05:41:00,55.0,55.0,55.0,55.0,0.0
2020-04-03 05:40:00,55.0,55.0,55.0,55.0,1139.0
2020-04-03 05:38:00,55.0,55.0,55.0,55.0,710.0
2020-04-03 05:37:00,55.1,55.1,55.1,55.1,100.0
2020-04-03 05:36:00,55.1,55.2,55.1,55.2,126.0
2020-04-03 05:35:00,55.2,55.2,55.2,55.2,49.0
2020-04-03 05:34:00,55.2,55.2,55.2,55.2,0.0
2020-04-03 05:33:00,55.1,55.1,55.1,55.1,212.0
2020-04-03 05:32:00,55.1,55.1,55.1,55.1,527.0
2020-04-03 05:31:00,55.05,55.05,55.05,55.05,285.0
2020-04-03 05:29:00,55.05,55.1,55.05,55.1,282.0
2020-04-03 05:26:00,55.2,55.2,55.1,55.1,74.0
2020-04-03 05:25:00,55.1,55.2,55.1,55.2,0.0
