date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,420.55,423.1,420.55,422.95,25471.0
2020-04-03 05:58:00,419.35,421.25,419.25,420.85,43446.0
2020-04-03 05:57:00,417.95,419.6,416.3,419.5,79703.0
2020-04-03 05:56:00,419.25,419.25,418.0,418.05,44900.0
2020-04-03 05:55:00,420.2,420.2,419.1,419.1,50512.0
2020-04-03 05:54:00,420.15,420.7,420.0,420.2,34630.0
2020-04-03 05:53:00,420.55,420.55,420.1,420.15,39345.0
2020-04-03 05:52:00,419.65,421.35,419.3,420.9,42453.0
2020-04-03 05:51:00,420.05,420.95,419.45,419.95,52371.0
2020-04-03 05:50:00,420.75,421.45,420.0,420.0,36643.0
2020-04-03 05:49:00,421.55,421.65,420.7,420.8,44867.0
2020-04-03 05:48:00,422.2,422.25,421.55,421.65,27755.0
2020-04-03 05:47:00,421.05,422.5,421.0,422.2,41315.0
2020-04-03 05:46:00,422.4,422.4,421.0,421.05,53351.0
2020-04-03 05:45:00,422.85,422.85,422.1,422.35,35627.0
2020-04-03 05:44:00,423.0,423.35,422.55,422.8,36238.0
2020-04-03 05:43:00,423.95,424.75,423.0,423.1,32461.0
2020-04-03 05:42:00,424.2,424.25,423.8,423.95,22963.0
2020-04-03 05:41:00,422.1,424.3,422.05,424.15,37249.0
2020-04-03 05:40:00,422.5,422.55,422.0,422.1,27384.0
2020-04-03 05:39:00,423.4,423.4,422.5,422.55,33225.0
2020-04-03 05:38:00,424.2,424.25,423.35,423.35,23474.0
2020-04-03 05:37:00,424.05,424.3,423.95,424.2,27358.0
2020-04-03 05:36:00,425.95,425.95,424.0,424.1,25709.0
2020-04-03 05:35:00,425.1,425.9,424.0,425.9,32147.0
2020-04-03 05:34:00,425.5,426.1,425.0,425.4,31512.0
2020-04-03 05:33:00,427.7,427.85,425.45,425.55,29945.0
2020-04-03 05:32:00,430.1,430.1,427.75,427.75,38646.0
2020-04-03 05:31:00,430.3,430.3,430.0,430.1,23692.0
2020-04-03 05:30:00,432.5,432.5,430.5,430.6,22822.0
2020-04-03 05:29:00,432.4,432.65,432.35,432.45,11606.0
2020-04-03 05:28:00,432.35,432.4,432.3,432.35,4263.0
