date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,59.2,59.2,59.0,59.0,35.0
2020-04-03 05:58:00,59.7,59.7,59.2,59.2,283.0
2020-04-03 05:57:00,59.7,59.7,59.7,59.7,85.0
2020-04-03 05:56:00,59.6,59.75,59.6,59.75,85.0
2020-04-03 05:55:00,59.6,59.6,59.6,59.6,144.0
2020-04-03 05:54:00,59.5,59.9,59.35,59.55,294.0
2020-04-03 05:53:00,59.5,59.5,59.5,59.5,29.0
2020-04-03 05:52:00,59.55,59.55,59.5,59.55,0.0
2020-04-03 05:51:00,59.5,59.5,59.5,59.5,216.0
2020-04-03 05:50:00,59.85,59.85,59.8,59.8,204.0
2020-04-03 05:49:00,59.8,59.8,59.8,59.8,16.0
2020-04-03 05:48:00,59.65,59.65,59.65,59.65,61.0
2020-04-03 05:47:00,59.9,59.9,59.75,59.75,175.0
2020-04-03 05:46:00,59.5,59.5,59.45,59.45,22.0
2020-04-03 05:45:00,59.55,59.55,59.35,59.35,0.0
2020-04-03 05:43:00,59.9,59.9,59.9,59.9,709.0
2020-04-03 05:41:00,59.55,59.55,59.55,59.55,69.0
2020-04-03 05:39:00,59.5,59.5,59.5,59.5,94.0
2020-04-03 05:37:00,59.5,59.5,59.5,59.5,39.0
2020-04-03 05:35:00,59.75,59.75,59.5,59.5,79.0
2020-04-03 05:34:00,59.75,59.75,59.75,59.75,0.0
2020-04-03 05:33:00,59.5,59.5,59.5,59.5,340.0
2020-04-03 05:32:00,59.95,59.95,59.9,59.9,141.0
2020-04-03 05:31:00,60.15,60.15,59.95,59.95,0.0
2020-04-03 05:29:00,59.85,60.4,59.85,60.4,1126.0
2020-04-03 05:28:00,60.05,60.05,59.95,59.95,27.0
2020-04-03 05:27:00,60.1,60.1,60.1,60.1,0.0
2020-04-03 05:26:00,60.0,60.15,60.0,60.15,187.0
2020-04-03 05:25:00,59.75,60.0,59.75,60.0,260.0
2020-04-03 05:24:00,59.85,59.85,59.8,59.8,212.0
2020-04-03 05:23:00,59.85,59.85,59.85,59.85,16.0
2020-04-03 05:22:00,59.8,59.8,59.8,59.8,0.0
2020-04-03 05:21:00,59.3,59.8,59.3,59.8,877.0
