date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,94.3,94.4,94.15,94.25,7197.0
2020-04-03 05:58:00,94.25,94.45,94.25,94.35,501.0
2020-04-03 05:57:00,94.1,94.5,94.1,94.5,7810.0
2020-04-03 05:56:00,94.25,94.3,94.0,94.1,2210.0
2020-04-03 05:55:00,94.1,94.25,94.0,94.2,245.0
2020-04-03 05:54:00,94.25,94.25,94.05,94.25,474.0
2020-04-03 05:53:00,94.0,94.3,94.0,94.25,3111.0
2020-04-03 05:52:00,94.0,94.0,94.0,94.0,3252.0
2020-04-03 05:51:00,94.05,94.1,94.0,94.0,1554.0
2020-04-03 05:50:00,94.0,94.35,94.0,94.15,1319.0
2020-04-03 05:49:00,94.0,94.35,94.0,94.3,362.0
2020-04-03 05:48:00,94.05,94.25,94.0,94.05,1409.0
2020-04-03 05:47:00,94.25,94.25,94.0,94.0,893.0
2020-04-03 05:46:00,94.0,94.2,94.0,94.1,335.0
2020-04-03 05:45:00,94.0,94.05,94.0,94.0,887.0
2020-04-03 05:44:00,94.05,94.05,94.0,94.0,2893.0
2020-04-03 05:43:00,94.1,94.1,94.0,94.0,516.0
2020-04-03 05:42:00,94.45,94.45,94.05,94.1,577.0
2020-04-03 05:41:00,94.05,94.4,94.0,94.4,1109.0
2020-04-03 05:40:00,94.3,94.45,94.2,94.2,3495.0
2020-04-03 05:39:00,94.25,94.5,94.25,94.25,387.0
2020-04-03 05:38:00,94.5,94.5,94.25,94.25,215.0
2020-04-03 05:37:00,94.2,94.3,94.2,94.3,953.0
2020-04-03 05:36:00,94.25,94.5,94.25,94.25,7.0
2020-04-03 05:35:00,94.05,94.3,94.05,94.2,419.0
2020-04-03 05:34:00,94.0,94.15,94.0,94.0,1374.0
2020-04-03 05:33:00,94.0,94.15,94.0,94.05,73.0
2020-04-03 05:32:00,94.2,94.2,94.05,94.05,28.0
2020-04-03 05:31:00,94.1,94.2,94.05,94.05,41.0
2020-04-03 05:30:00,94.05,94.1,94.0,94.1,107.0
2020-04-03 05:29:00,93.9,94.3,93.85,94.05,160.0
2020-04-03 05:28:00,94.0,94.0,93.8,94.0,11.0
2020-04-03 05:27:00,93.85,94.0,93.85,94.0,180.0
2020-04-03 05:26:00,94.0,94.0,94.0,94.0,6.0
2020-04-03 05:25:00,94.0,94.0,93.75,94.0,217.0
2020-04-03 05:24:00,93.8,94.4,93.6,94.0,20598.0
2020-04-03 05:23:00,93.95,94.15,93.7,93.75,37376.0
2020-04-03 05:22:00,94.0,94.0,93.9,93.95,655.0
2020-04-03 05:21:00,94.0,94.0,93.9,93.95,726.0
2020-04-03 05:20:00,93.95,94.0,93.95,94.0,56.0
2020-04-03 05:19:00,94.0,94.0,93.9,94.0,1801.0
2020-04-03 05:18:00,93.9,94.0,93.75,94.0,5724.0
2020-04-03 05:17:00,94.0,94.0,93.9,93.9,16302.0
2020-04-03 05:16:00,94.0,94.0,93.9,94.0,515.0
2020-04-03 05:15:00,94.0,94.0,93.9,93.9,118.0
2020-04-03 05:14:00,94.0,94.0,93.9,93.95,387.0
2020-04-03 05:13:00,93.8,94.0,93.8,94.0,246.0
2020-04-03 05:12:00,93.95,94.0,93.75,93.9,219.0
2020-04-03 05:11:00,93.85,94.0,93.7,93.95,20969.0
2020-04-03 05:10:00,94.2,94.3,93.95,93.95,21386.0
2020-04-03 05:09:00,94.3,94.4,94.2,94.25,732.0
2020-04-03 05:08:00,94.1,94.4,94.1,94.25,124.0
2020-04-03 05:07:00,93.85,94.3,93.8,94.3,714.0
2020-04-03 05:06:00,93.9,94.0,93.8,94.0,387.0
2020-04-03 05:05:00,94.0,94.0,93.8,93.9,1137.0
2020-04-03 05:04:00,93.85,93.95,93.8,93.95,2236.0
2020-04-03 05:03:00,94.05,94.05,93.85,93.85,6012.0
2020-04-03 05:02:00,94.05,94.1,94.0,94.0,42.0
2020-04-03 05:01:00,94.05,94.15,94.0,94.15,243.0
2020-04-03 05:00:00,94.0,94.15,94.0,94.05,668.0
2020-04-03 04:59:00,94.0,94.05,94.0,94.0,106.0
2020-04-03 04:58:00,94.05,94.05,94.0,94.05,56.0
2020-04-03 04:57:00,94.0,94.15,94.0,94.05,346.0
2020-04-03 04:56:00,94.05,94.1,94.0,94.0,182.0
2020-04-03 04:55:00,94.0,94.1,94.0,94.0,227.0
2020-04-03 04:54:00,94.05,94.25,94.0,94.0,356.0
2020-04-03 04:53:00,94.05,94.3,94.05,94.1,453.0
2020-04-03 04:52:00,94.0,94.1,94.0,94.05,341.0
2020-04-03 04:51:00,94.05,94.2,94.0,94.0,1152.0
2020-04-03 04:50:00,94.15,94.2,94.0,94.05,2083.0
2020-04-03 04:49:00,94.2,94.2,94.1,94.1,171.0
2020-04-03 04:48:00,94.25,94.25,94.1,94.15,3.0
2020-04-03 04:47:00,94.2,94.3,94.1,94.25,68.0
2020-04-03 04:46:00,94.1,94.3,94.1,94.3,489.0
2020-04-03 04:45:00,94.25,94.25,94.1,94.1,456.0
2020-04-03 04:44:00,94.15,94.4,94.1,94.2,504.0
2020-04-03 04:43:00,94.2,94.6,94.1,94.1,2660.0
2020-04-03 04:42:00,94.2,94.4,94.1,94.2,634.0
2020-04-03 04:41:00,94.4,94.4,94.2,94.4,190.0
2020-04-03 04:40:00,94.2,94.5,94.2,94.35,766.0
2020-04-03 04:39:00,94.2,94.45,94.2,94.25,371.0
2020-04-03 04:38:00,94.4,94.45,94.25,94.25,918.0
2020-04-03 04:37:00,94.45,94.45,94.15,94.4,72.0
2020-04-03 04:36:00,94.15,94.3,94.1,94.3,30.0
2020-04-03 04:35:00,94.15,94.4,94.1,94.15,121.0
2020-04-03 04:34:00,94.15,94.4,94.1,94.4,426.0
2020-04-03 04:33:00,94.15,94.4,94.1,94.1,3602.0
2020-04-03 04:32:00,94.3,94.35,94.15,94.15,118.0
2020-04-03 04:31:00,94.35,94.35,94.2,94.2,52.0
2020-04-03 04:30:00,94.2,94.35,94.1,94.3,241.0
2020-04-03 04:29:00,94.25,94.35,94.1,94.35,516.0
2020-04-03 04:28:00,94.3,94.3,94.1,94.3,4.0
2020-04-03 04:27:00,94.2,94.35,94.15,94.15,173.0
2020-04-03 04:26:00,94.15,94.25,94.1,94.1,166.0
2020-04-03 04:25:00,94.15,94.35,94.1,94.1,246.0
2020-04-03 04:24:00,94.15,94.4,94.15,94.4,34.0
2020-04-03 04:23:00,94.2,94.4,94.1,94.1,192.0
2020-04-03 04:22:00,94.35,94.35,94.15,94.25,382.0
2020-04-03 04:21:00,94.3,94.45,94.2,94.35,82.0
2020-04-03 04:20:00,94.4,94.5,94.25,94.25,435.0
2020-04-03 04:19:00,94.3,94.6,94.25,94.5,187.0
2020-04-03 04:18:00,94.15,94.5,94.15,94.25,707.0
2020-04-03 04:17:00,94.3,94.35,94.15,94.15,1963.0
2020-04-03 04:16:00,94.45,94.5,94.25,94.25,313.0
2020-04-03 04:15:00,94.4,94.5,94.3,94.45,86.0
2020-04-03 04:14:00,94.55,94.65,94.3,94.3,542.0
2020-04-03 04:13:00,94.6,94.7,94.55,94.55,278.0
2020-04-03 04:12:00,94.45,94.65,94.4,94.55,1227.0
2020-04-03 04:11:00,94.75,94.75,94.45,94.45,1279.0
2020-04-03 04:10:00,94.55,94.75,94.55,94.7,412.0
2020-04-03 04:09:00,94.75,94.75,94.6,94.6,532.0
2020-04-03 04:08:00,94.6,94.75,94.5,94.7,455.0
2020-04-03 04:07:00,94.6,94.6,94.45,94.6,578.0
2020-04-03 04:06:00,94.55,94.6,94.5,94.5,136.0
2020-04-03 04:05:00,94.55,94.7,94.5,94.7,28.0
2020-04-03 04:04:00,94.7,94.8,94.5,94.6,136.0
2020-04-03 04:03:00,94.75,94.8,94.55,94.6,422.0
2020-04-03 04:02:00,94.55,94.9,94.4,94.75,1873.0
2020-04-03 04:01:00,94.8,94.95,94.45,94.5,3598.0
2020-04-03 04:00:00,94.7,94.9,94.7,94.8,550.0
2020-04-03 03:59:00,94.55,94.8,94.5,94.7,2667.0
2020-04-03 03:58:00,94.45,94.65,94.45,94.6,276.0
2020-04-03 03:57:00,94.25,94.65,94.25,94.4,693.0
2020-04-03 03:56:00,94.25,94.4,94.2,94.35,203.0
2020-04-03 03:55:00,94.5,94.6,94.2,94.2,983.0
2020-04-03 03:54:00,94.4,94.5,94.4,94.45,198.0
2020-04-03 03:53:00,94.45,94.45,94.45,94.45,16.0
2020-04-03 03:52:00,94.4,94.45,94.25,94.4,12.0
2020-04-03 03:51:00,94.45,94.45,94.25,94.35,127.0
2020-04-03 03:50:00,94.4,94.5,94.2,94.45,93.0
2020-04-03 03:49:00,94.35,94.5,94.2,94.3,510.0
2020-04-03 03:48:00,94.5,94.6,94.1,94.2,1891.0
2020-04-03 03:47:00,94.5,94.6,94.5,94.6,1105.0
2020-04-03 03:46:00,94.35,94.4,94.1,94.4,56.0
2020-04-03 03:45:00,94.35,94.35,94.15,94.35,13.0
2020-04-03 03:44:00,94.15,94.15,94.1,94.1,120.0
2020-04-03 03:43:00,94.1,94.1,94.1,94.1,4.0
2020-04-03 03:42:00,94.15,94.25,94.1,94.1,1564.0
2020-04-03 03:41:00,94.1,94.15,94.1,94.1,72.0
2020-04-03 03:40:00,94.15,94.2,94.1,94.1,203.0
2020-04-03 03:39:00,94.2,94.2,94.1,94.1,22.0
2020-04-03 03:38:00,94.2,94.2,94.1,94.1,15.0
2020-04-03 03:37:00,94.15,94.3,94.1,94.1,119.0
2020-04-03 03:36:00,94.3,94.3,94.15,94.15,409.0
2020-04-03 03:35:00,94.3,94.45,94.3,94.3,212.0
2020-04-03 03:34:00,94.5,94.5,94.25,94.3,293.0
2020-04-03 03:33:00,94.4,94.5,94.3,94.3,278.0
2020-04-03 03:32:00,94.45,94.45,94.3,94.3,6.0
2020-04-03 03:31:00,94.25,94.45,94.25,94.3,525.0
2020-04-03 03:30:00,94.35,94.35,94.35,94.35,1245.0
2020-04-03 03:29:00,94.25,94.25,94.15,94.15,52.0
2020-04-03 03:28:00,94.15,94.15,94.15,94.15,86.0
2020-04-03 03:26:00,94.2,94.2,94.1,94.1,386.0
2020-04-03 03:25:00,94.15,94.15,94.1,94.15,11.0
2020-04-03 03:24:00,94.1,94.1,94.1,94.1,57.0
2020-04-03 03:23:00,94.35,94.35,94.1,94.1,4.0
2020-04-03 03:22:00,94.2,94.2,94.1,94.1,22.0
2020-04-03 03:21:00,94.15,94.3,94.1,94.1,68.0
2020-04-03 03:20:00,94.1,94.15,94.1,94.1,0.0
2020-04-03 03:19:00,94.1,94.1,94.05,94.1,633.0
2020-04-03 03:18:00,94.25,94.25,94.05,94.1,11.0
2020-04-03 03:17:00,94.15,94.2,94.05,94.05,351.0
2020-04-03 03:16:00,94.35,94.45,94.15,94.2,168.0
2020-04-03 03:15:00,94.3,94.4,94.15,94.15,513.0
2020-04-03 03:14:00,94.1,94.3,94.1,94.15,403.0
2020-04-03 03:13:00,94.15,94.2,94.15,94.2,72.0
2020-04-03 03:12:00,94.1,94.15,94.05,94.05,193.0
