date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 16:00:00,32.76,32.79,32.66,32.73,39523.0
2020-04-03 15:59:00,32.72,32.77,32.67,32.75,17471.0
2020-04-03 15:58:00,32.77,32.8,32.655,32.74,22039.0
2020-04-03 15:57:00,32.73,32.83,32.71,32.77,17592.0
2020-04-03 15:56:00,32.76,32.77,32.7,32.73,16654.0
2020-04-03 15:55:00,32.79,32.82,32.74,32.76,17522.0
2020-04-03 15:54:00,32.785,32.8,32.73,32.8,11579.0
2020-04-03 15:53:00,32.78,32.85,32.71,32.78,10205.0
2020-04-03 15:52:00,32.84,32.84,32.71,32.8,11245.0
2020-04-03 15:51:00,32.71,32.88,32.51,32.86,38083.0
2020-04-03 15:50:00,32.76,32.76,32.66,32.68,5765.0
2020-04-03 15:49:00,32.62,32.78,32.62,32.755,9848.0
2020-04-03 15:48:00,32.58,32.61,32.5,32.61,8035.0
2020-04-03 15:47:00,32.56,32.58,32.51,32.55,5360.0
2020-04-03 15:46:00,32.52,32.585,32.52,32.55,6222.0
2020-04-03 15:45:00,32.56,32.57,32.5,32.52,2317.0
2020-04-03 15:44:00,32.495,32.56,32.495,32.54,4786.0
2020-04-03 15:43:00,32.54,32.55,32.47,32.5,10568.0
2020-04-03 15:42:00,32.61,32.615,32.545,32.55,10436.0
2020-04-03 15:41:00,32.6,32.65,32.6,32.62,4589.0
2020-04-03 15:40:00,32.68,32.695,32.59,32.59,8319.0
2020-04-03 15:39:00,32.625,32.68,32.61,32.68,3501.0
2020-04-03 15:38:00,32.65,32.67,32.62,32.625,3551.0
2020-04-03 15:37:00,32.825,32.825,32.69,32.69,8839.0
2020-04-03 15:36:00,32.72,32.78,32.66,32.78,5109.0
2020-04-03 15:35:00,32.83,32.83,32.705,32.71,4418.0
2020-04-03 15:34:00,32.89,32.9,32.785,32.82,4961.0
2020-04-03 15:33:00,32.92,32.92,32.855,32.88,9654.0
2020-04-03 15:32:00,33.02,33.02,32.93,32.95,1240.0
2020-04-03 15:31:00,32.9647,33.08,32.96,32.995,10568.0
2020-04-03 15:30:00,32.94,32.97,32.92,32.97,2444.0
2020-04-03 15:29:00,32.895,32.94,32.895,32.94,2585.0
2020-04-03 15:28:00,32.87,32.91,32.86,32.88,3880.0
2020-04-03 15:27:00,32.9,32.9,32.86,32.86,3188.0
2020-04-03 15:26:00,32.89,32.98,32.85,32.94,5800.0
2020-04-03 15:25:00,32.9,32.91,32.87,32.9,4777.0
2020-04-03 15:24:00,32.9,32.9,32.86,32.9,3209.0
2020-04-03 15:23:00,32.88,32.91,32.87,32.87,1316.0
2020-04-03 15:22:00,32.99,32.99,32.95,32.95,2395.0
2020-04-03 15:21:00,33.0,33.01,32.96,32.99,2292.0
2020-04-03 15:20:00,33.07,33.1,32.99,33.0,7372.0
2020-04-03 15:19:00,33.03,33.1,32.94,33.09,4924.0
2020-04-03 15:18:00,32.85,33.0,32.81,33.0,7635.0
2020-04-03 15:17:00,32.85,32.85,32.8,32.82,1452.0
2020-04-03 15:16:00,32.82,32.89,32.82,32.86,2315.0
2020-04-03 15:15:00,32.79,32.88,32.79,32.84,5986.0
2020-04-03 15:14:00,32.71,32.81,32.7,32.775,2224.0
2020-04-03 15:13:00,32.725,32.73,32.67,32.73,3099.0
2020-04-03 15:12:00,32.71,32.75,32.71,32.72,2188.0
2020-04-03 15:11:00,32.71,32.74,32.7,32.7,3779.0
2020-04-03 15:10:00,32.72,32.72,32.715,32.715,383.0
2020-04-03 15:09:00,32.77,32.77,32.72,32.74,2629.0
2020-04-03 15:08:00,32.7,32.78,32.7,32.75,3646.0
2020-04-03 15:07:00,32.67,32.71,32.66,32.71,4540.0
2020-04-03 15:06:00,32.73,32.73,32.68,32.68,1033.0
2020-04-03 15:05:00,32.795,32.795,32.73,32.74,3403.0
2020-04-03 15:04:00,32.82,32.83,32.75,32.78,2865.0
2020-04-03 15:03:00,32.88,32.895,32.82,32.82,2192.0
2020-04-03 15:02:00,32.79,32.87,32.79,32.87,3536.0
2020-04-03 15:01:00,32.78,32.81,32.77,32.77,1989.0
2020-04-03 15:00:00,32.8,32.82,32.8,32.8,4004.0
2020-04-03 14:59:00,32.83,32.83,32.79,32.8,2725.0
2020-04-03 14:58:00,32.75,32.83,32.75,32.83,4278.0
2020-04-03 14:57:00,32.73,32.75,32.72,32.73,2157.0
2020-04-03 14:56:00,32.705,32.72,32.69,32.7,1772.0
2020-04-03 14:55:00,32.73,32.73,32.68,32.68,1916.0
2020-04-03 14:54:00,32.79,32.79,32.71,32.72,3094.0
2020-04-03 14:53:00,32.76,32.8,32.73,32.79,1550.0
2020-04-03 14:52:00,32.63,32.73,32.63,32.73,753.0
2020-04-03 14:51:00,32.63,32.65,32.63,32.63,430.0
2020-04-03 14:50:00,32.51,32.59,32.51,32.59,3902.0
2020-04-03 14:49:00,32.5,32.5,32.48,32.5,786.0
2020-04-03 14:48:00,32.514,32.514,32.5,32.5,2935.0
2020-04-03 14:47:00,32.48,32.53,32.47,32.51,2514.0
2020-04-03 14:46:00,32.45,32.48,32.45,32.48,2607.0
2020-04-03 14:45:00,32.48,32.48,32.45,32.45,6608.0
2020-04-03 14:44:00,32.52,32.52,32.48,32.49,3159.0
2020-04-03 14:43:00,32.53,32.54,32.52,32.53,3264.0
2020-04-03 14:42:00,32.54,32.54,32.53,32.53,1105.0
2020-04-03 14:41:00,32.495,32.54,32.49,32.54,2136.0
2020-04-03 14:40:00,32.51,32.51,32.48,32.49,3786.0
2020-04-03 14:39:00,32.5,32.54,32.5,32.53,1166.0
2020-04-03 14:38:00,32.5,32.5,32.49,32.5,1012.0
2020-04-03 14:37:00,32.55,32.55,32.48,32.48,891.0
2020-04-03 14:36:00,32.57,32.57,32.55,32.55,557.0
2020-04-03 14:35:00,32.54,32.57,32.52,32.57,5564.0
2020-04-03 14:34:00,32.55,32.56,32.53,32.53,2388.0
2020-04-03 14:33:00,32.56,32.58,32.54,32.56,3354.0
2020-04-03 14:32:00,32.58,32.59,32.56,32.57,1913.0
2020-04-03 14:31:00,32.6,32.6,32.6,32.6,1169.0
2020-04-03 14:30:00,32.56,32.64,32.5528,32.64,2023.0
2020-04-03 14:29:00,32.49,32.55,32.49,32.55,1453.0
2020-04-03 14:28:00,32.51,32.52,32.5,32.51,1284.0
2020-04-03 14:27:00,32.5624,32.5624,32.52,32.536,5160.0
2020-04-03 14:26:00,32.57,32.59,32.52,32.58,2950.0
2020-04-03 14:25:00,32.52,32.57,32.52,32.57,1031.0
2020-04-03 14:24:00,32.56,32.56,32.515,32.515,2789.0
2020-04-03 14:23:00,32.535,32.58,32.51,32.57,2466.0
2020-04-03 14:22:00,32.49,32.55,32.49,32.55,1569.0
2020-04-03 14:21:00,32.47,32.49,32.46,32.49,1456.0
2020-04-03 14:20:00,32.47,32.49,32.45,32.47,4541.0
2020-04-03 14:19:00,32.49,32.49,32.46,32.475,4578.0
2020-04-03 14:18:00,32.49,32.53,32.49,32.5,1593.0
2020-04-03 14:17:00,32.5,32.505,32.46,32.46,4749.0
2020-04-03 14:16:00,32.55,32.58,32.5,32.5,3359.0
2020-04-03 14:15:00,32.53,32.57,32.53,32.54,5049.0
2020-04-03 14:14:00,32.56,32.56,32.53,32.535,26700.0
2020-04-03 14:13:00,32.58,32.58,32.53,32.54,1909.0
2020-04-03 14:12:00,32.585,32.585,32.57,32.58,2264.0
2020-04-03 14:11:00,32.61,32.61,32.59,32.59,2646.0
2020-04-03 14:10:00,32.62,32.63,32.6,32.61,2620.0
2020-04-03 14:09:00,32.55,32.64,32.54,32.64,2793.0
2020-04-03 14:08:00,32.56,32.56,32.56,32.56,1243.0
2020-04-03 14:07:00,32.57,32.57,32.54,32.55,4647.0
2020-04-03 14:06:00,32.58,32.58,32.56,32.56,1915.0
2020-04-03 14:05:00,32.59,32.6,32.58,32.59,1874.0
2020-04-03 14:04:00,32.63,32.63,32.59,32.59,2312.0
2020-04-03 14:03:00,32.71,32.72,32.63,32.63,1040.0
2020-04-03 14:02:00,32.7,32.72,32.69,32.72,3243.0
2020-04-03 14:01:00,32.71,32.7125,32.69,32.7,2191.0
