date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,19.6,19.85,19.6,19.6,4203.0
2020-04-03 05:58:00,19.75,19.75,19.7,19.7,1364.0
2020-04-03 05:57:00,19.85,20.0,19.6,19.7,12798.0
2020-04-03 05:56:00,19.8,19.8,19.7,19.8,2271.0
2020-04-03 05:55:00,19.85,19.85,19.75,19.75,2073.0
2020-04-03 05:54:00,19.7,19.75,19.7,19.75,2998.0
2020-04-03 05:53:00,19.65,19.75,19.65,19.75,1099.0
2020-04-03 05:52:00,19.6,19.7,19.6,19.7,2562.0
2020-04-03 05:51:00,19.65,19.65,19.6,19.6,46.0
2020-04-03 05:50:00,19.55,19.65,19.55,19.65,2044.0
2020-04-03 05:49:00,19.55,19.55,19.55,19.55,187.0
2020-04-03 05:48:00,19.6,19.6,19.55,19.55,1238.0
2020-04-03 05:47:00,19.6,19.6,19.6,19.6,47.0
2020-04-03 05:46:00,19.5,19.6,19.5,19.6,634.0
2020-04-03 05:45:00,19.35,19.65,19.35,19.65,11774.0
2020-04-03 05:44:00,19.35,19.4,19.35,19.4,578.0
2020-04-03 05:43:00,19.3,19.35,19.3,19.35,477.0
2020-04-03 05:42:00,19.4,19.45,19.3,19.4,1632.0
2020-04-03 05:41:00,19.4,19.45,19.35,19.35,9060.0
2020-04-03 05:40:00,19.4,19.4,19.35,19.4,1886.0
2020-04-03 05:39:00,19.4,19.4,19.35,19.4,1757.0
2020-04-03 05:38:00,19.35,19.35,19.35,19.35,0.0
2020-04-03 05:36:00,19.4,19.4,19.35,19.35,1011.0
2020-04-03 05:35:00,19.45,19.5,19.4,19.5,3937.0
2020-04-03 05:34:00,19.5,19.5,19.45,19.45,492.0
2020-04-03 05:33:00,19.45,19.45,19.4,19.45,438.0
2020-04-03 05:32:00,19.5,19.5,19.45,19.45,1623.0
2020-04-03 05:31:00,19.45,19.5,19.4,19.4,1150.0
2020-04-03 05:30:00,19.45,19.45,19.45,19.45,0.0
2020-04-03 05:29:00,19.5,19.5,19.5,19.5,1153.0
2020-04-03 05:28:00,19.45,19.45,19.35,19.4,113.0
2020-04-03 05:27:00,19.5,19.5,19.4,19.4,3386.0
2020-04-03 05:26:00,19.4,19.45,19.4,19.45,555.0
2020-04-03 05:25:00,19.35,19.45,19.35,19.35,1050.0
2020-04-03 05:24:00,19.4,19.4,19.35,19.35,3774.0
2020-04-03 05:23:00,19.45,19.5,19.45,19.5,272.0
2020-04-03 05:22:00,19.25,19.4,19.25,19.4,12824.0
2020-04-03 05:21:00,19.25,19.25,19.25,19.25,2568.0
2020-04-03 05:20:00,19.35,19.35,19.3,19.3,2925.0
2020-04-03 05:19:00,19.35,19.4,19.3,19.3,3077.0
2020-04-03 05:18:00,19.45,19.45,19.45,19.45,0.0
2020-04-03 05:17:00,19.45,19.45,19.45,19.45,307.0
2020-04-03 05:16:00,19.55,19.6,19.45,19.5,2615.0
2020-04-03 05:15:00,19.55,19.6,19.55,19.55,1904.0
2020-04-03 05:14:00,19.55,19.55,19.5,19.55,779.0
2020-04-03 05:13:00,19.5,19.5,19.45,19.5,1990.0
2020-04-03 05:12:00,19.45,19.45,19.45,19.45,431.0
2020-04-03 05:11:00,19.4,19.4,19.4,19.4,0.0
2020-04-03 05:10:00,19.4,19.4,19.3,19.3,408.0
2020-04-03 05:09:00,19.35,19.35,19.35,19.35,44.0
2020-04-03 05:08:00,19.4,19.4,19.25,19.4,3404.0
2020-04-03 05:07:00,19.4,19.4,19.35,19.4,888.0
2020-04-03 05:06:00,19.4,19.4,19.4,19.4,0.0
2020-04-03 05:05:00,19.45,19.45,19.4,19.45,2028.0
2020-04-03 05:04:00,19.4,19.4,19.4,19.4,0.0
2020-04-03 05:03:00,19.45,19.45,19.4,19.4,743.0
2020-04-03 05:02:00,19.6,19.6,19.4,19.4,2652.0
2020-04-03 05:00:00,19.55,19.56,19.51,19.55,1730.0
2020-04-03 04:59:00,19.5,19.5,19.5,19.5,73.0
2020-04-03 04:58:00,19.45,19.5,19.4,19.5,0.0
2020-04-03 04:57:00,19.5,19.5,19.35,19.4,5455.0
2020-04-03 04:56:00,19.5,19.5,19.5,19.5,380.0
2020-04-03 04:55:00,19.45,19.45,19.45,19.45,9.0
2020-04-03 04:54:00,19.55,19.55,19.45,19.5,11.0
2020-04-03 04:53:00,19.45,19.6,19.45,19.5,51.0
2020-04-03 04:52:00,19.55,19.6,19.45,19.45,2513.0
2020-04-03 04:51:00,19.5,19.55,19.5,19.55,3509.0
2020-04-03 04:50:00,19.6,19.6,19.5,19.5,782.0
2020-04-03 04:49:00,19.5,19.55,19.5,19.55,5057.0
2020-04-03 04:48:00,19.65,19.65,19.5,19.55,2285.0
2020-04-03 04:47:00,19.6,19.6,19.5,19.5,411.0
2020-04-03 04:46:00,19.65,19.7,19.5,19.5,1562.0
2020-04-03 04:45:00,19.6,19.6,19.55,19.6,4193.0
2020-04-03 04:44:00,19.7,19.7,19.55,19.55,2124.0
2020-04-03 04:43:00,19.55,19.6,19.55,19.6,4862.0
2020-04-03 04:42:00,19.7,19.75,19.6,19.6,4108.0
2020-04-03 04:41:00,19.8,19.8,19.75,19.75,5417.0
2020-04-03 04:40:00,19.85,19.85,19.85,19.85,743.0
2020-04-03 04:39:00,19.85,19.85,19.8,19.85,51.0
2020-04-03 04:38:00,19.85,19.85,19.85,19.85,0.0
2020-04-03 04:37:00,19.75,19.8,19.75,19.8,2844.0
