date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,932.0,932.0,929.85,929.85,126.0
2020-04-03 05:58:00,932.0,932.0,930.0,931.85,37.0
2020-04-03 05:57:00,932.0,932.0,931.95,931.95,22.0
2020-04-03 05:56:00,932.9,932.9,932.9,932.9,0.0
2020-04-03 05:55:00,933.0,933.0,930.0,930.0,95.0
2020-04-03 05:54:00,931.9,931.9,930.0,930.55,67.0
2020-04-03 05:53:00,930.0,931.25,930.0,931.25,90.0
2020-04-03 05:52:00,933.8,933.8,933.8,933.8,6.0
2020-04-03 05:51:00,934.4,934.4,932.35,932.35,3.0
2020-04-03 05:50:00,934.45,934.45,934.45,934.45,11.0
2020-04-03 05:49:00,934.6,934.6,934.6,934.6,0.0
2020-04-03 05:47:00,932.0,932.0,932.0,932.0,18.0
2020-04-03 05:46:00,932.0,932.0,930.05,932.0,13.0
2020-04-03 05:45:00,931.1,932.0,931.0,931.0,9.0
2020-04-03 05:44:00,930.3,930.4,930.1,930.1,13.0
2020-04-03 05:43:00,930.0,930.6,930.0,930.6,75.0
2020-04-03 05:42:00,930.0,930.0,930.0,930.0,1.0
2020-04-03 05:41:00,931.1,931.1,931.1,931.1,8.0
2020-04-03 05:40:00,931.05,931.05,930.0,930.0,0.0
2020-04-03 05:39:00,931.95,931.95,930.2,930.2,40.0
2020-04-03 05:38:00,931.95,931.95,931.95,931.95,0.0
2020-04-03 05:37:00,929.05,930.0,929.05,930.0,141.0
2020-04-03 05:35:00,927.25,927.25,927.25,927.25,0.0
2020-04-03 05:34:00,930.0,930.0,928.0,928.0,498.0
2020-04-03 05:33:00,929.7,929.7,929.7,929.7,5.0
2020-04-03 05:32:00,929.7,929.7,929.7,929.7,3.0
2020-04-03 05:31:00,928.7,928.7,928.7,928.7,16.0
2020-04-03 05:29:00,925.3,926.65,925.3,926.65,7.0
2020-04-03 05:28:00,925.0,929.45,925.0,929.45,213.0
2020-04-03 05:27:00,929.55,929.55,927.35,927.35,0.0
2020-04-03 05:26:00,925.05,925.05,925.05,925.05,66.0
2020-04-03 05:25:00,926.5,926.5,925.15,925.15,8.0
2020-04-03 05:24:00,929.0,929.0,928.0,928.0,3.0
2020-04-03 05:23:00,930.9,930.9,930.9,930.9,3.0
2020-04-03 05:22:00,930.0,930.0,930.0,930.0,2.0
2020-04-03 05:21:00,929.0,930.05,929.0,930.05,27.0
2020-04-03 05:20:00,930.55,930.55,930.0,930.0,9.0
2020-04-03 05:18:00,930.6,930.6,930.6,930.6,5.0
2020-04-03 05:17:00,932.0,932.0,931.3,931.3,10.0
2020-04-03 05:15:00,931.15,931.15,931.15,931.15,5.0
2020-04-03 05:14:00,932.0,932.0,930.2,930.2,11.0
2020-04-03 05:13:00,932.0,932.0,932.0,932.0,0.0
2020-04-03 05:12:00,932.1,932.1,932.0,932.0,16.0
2020-04-03 05:11:00,930.0,932.0,929.3,932.0,21.0
2020-04-03 05:10:00,930.05,930.05,929.95,929.95,12.0
2020-04-03 05:09:00,930.95,931.2,930.3,931.2,18.0
2020-04-03 05:07:00,929.1,929.15,929.1,929.15,2.0
2020-04-03 05:06:00,928.6,928.6,928.6,928.6,7.0
2020-04-03 05:05:00,930.85,930.85,930.85,930.85,0.0
2020-04-03 05:03:00,928.2,928.2,928.2,928.2,8.0
2020-04-03 05:01:00,927.8,927.8,927.8,927.8,10.0
2020-04-03 05:00:00,925.0,926.8,925.0,926.8,5.0
2020-04-03 04:59:00,925.05,925.1,925.0,925.1,22.0
2020-04-03 04:58:00,925.7,925.7,925.1,925.1,5.0
2020-04-03 04:57:00,926.2,926.2,926.2,926.2,0.0
2020-04-03 04:56:00,925.0,925.0,925.0,925.0,5.0
2020-04-03 04:55:00,925.55,926.9,925.0,926.9,19.0
2020-04-03 04:53:00,925.3,925.3,925.3,925.3,0.0
2020-04-03 04:52:00,925.0,925.0,925.0,925.0,8.0
2020-04-03 04:51:00,925.0,925.0,925.0,925.0,21.0
2020-04-03 04:50:00,928.7,928.7,925.0,926.0,49.0
2020-04-03 04:49:00,925.1,925.7,925.1,925.7,1.0
2020-04-03 04:48:00,925.35,925.7,925.35,925.7,7.0
2020-04-03 04:47:00,925.0,925.0,925.0,925.0,5.0
2020-04-03 04:46:00,928.0,928.0,925.05,925.05,6.0
2020-04-03 04:45:00,927.55,927.55,925.0,925.0,14.0
2020-04-03 04:43:00,927.05,927.55,927.0,927.55,4.0
2020-04-03 04:42:00,928.0,928.7,927.5,928.7,8.0
2020-04-03 04:41:00,929.9,929.9,929.9,929.9,0.0
2020-04-03 04:39:00,928.05,928.05,928.05,928.05,1.0
2020-04-03 04:38:00,929.95,929.95,929.95,929.95,22.0
2020-04-03 04:37:00,928.55,928.55,925.0,925.0,26.0
2020-04-03 04:35:00,931.95,931.95,931.95,931.95,1.0
2020-04-03 04:34:00,926.35,927.55,926.35,927.55,19.0
2020-04-03 04:33:00,925.0,925.0,925.0,925.0,0.0
2020-04-03 04:31:00,925.75,925.75,925.0,925.0,8.0
2020-04-03 04:30:00,925.0,925.0,925.0,925.0,17.0
2020-04-03 04:29:00,926.7,926.7,925.05,925.05,8.0
2020-04-03 04:28:00,925.0,925.0,925.0,925.0,7.0
2020-04-03 04:27:00,927.05,927.05,927.05,927.05,0.0
2020-04-03 04:26:00,930.0,930.0,930.0,930.0,3.0
2020-04-03 04:25:00,932.1,932.1,932.1,932.1,18.0
2020-04-03 04:23:00,930.0,930.0,930.0,930.0,3.0
2020-04-03 04:21:00,931.1,931.5,930.0,930.0,31.0
2020-04-03 04:20:00,934.45,934.45,932.1,932.1,51.0
2020-04-03 04:19:00,934.5,934.5,934.5,934.5,0.0
2020-04-03 04:18:00,932.2,934.5,932.2,934.5,12.0
2020-04-03 04:17:00,931.15,932.2,931.15,932.2,12.0
2020-04-03 04:16:00,931.1,931.1,931.1,931.1,0.0
2020-04-03 04:14:00,935.95,935.95,934.5,934.5,68.0
2020-04-03 04:13:00,930.2,930.2,930.2,930.2,0.0
2020-04-03 04:12:00,930.2,930.2,930.15,930.15,4.0
2020-04-03 04:10:00,932.55,932.55,930.25,930.25,7.0
2020-04-03 04:08:00,932.55,932.55,932.55,932.55,0.0
2020-04-03 04:06:00,930.0,933.55,930.0,933.55,22.0
2020-04-03 04:02:00,927.55,927.55,927.55,927.55,17.0
2020-04-03 04:00:00,926.35,926.35,926.35,926.35,5.0
2020-04-03 03:59:00,926.0,926.0,925.0,925.7,5.0
2020-04-03 03:57:00,926.0,926.0,926.0,926.0,0.0
2020-04-03 03:55:00,926.35,926.35,926.35,926.35,10.0
2020-04-03 03:54:00,926.55,926.55,926.55,926.55,2.0
2020-04-03 03:50:00,925.0,926.1,925.0,926.1,17.0
2020-04-03 03:48:00,926.0,926.0,926.0,926.0,0.0
2020-04-03 03:46:00,926.1,926.1,926.1,926.1,13.0
2020-04-03 03:45:00,930.0,930.0,925.0,925.0,22.0
2020-04-03 03:44:00,932.35,932.35,926.1,926.1,23.0
2020-04-03 03:43:00,929.8,929.8,929.8,929.8,9.0
2020-04-03 03:41:00,925.75,925.75,925.75,925.75,0.0
2020-04-03 03:40:00,928.05,928.05,926.75,926.75,17.0
2020-04-03 03:37:00,925.0,928.75,925.0,928.75,38.0
2020-04-03 03:36:00,925.9,925.9,925.7,925.7,0.0
2020-04-03 03:34:00,929.9,929.9,925.95,925.95,14.0
2020-04-03 03:33:00,927.2,927.2,927.2,927.2,0.0
2020-04-03 03:32:00,927.2,927.2,925.95,925.95,11.0
