date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,317.6,320.2,317.05,320.2,518.0
2020-04-03 05:58:00,317.5,317.6,317.0,317.6,147.0
2020-04-03 05:57:00,318.1,318.3,316.05,317.0,74.0
2020-04-03 05:56:00,317.7,318.75,317.7,318.3,833.0
2020-04-03 05:55:00,315.05,317.6,315.0,317.6,2516.0
2020-04-03 05:54:00,315.05,315.35,315.0,315.0,793.0
2020-04-03 05:53:00,315.75,315.75,314.6,315.3,148.0
2020-04-03 05:52:00,315.55,316.05,314.25,315.75,4641.0
2020-04-03 05:51:00,318.5,318.5,315.45,315.45,1395.0
2020-04-03 05:50:00,322.9,322.9,318.9,318.9,617.0
2020-04-03 05:49:00,323.0,323.25,322.35,323.2,464.0
2020-04-03 05:48:00,323.15,323.35,322.25,322.95,432.0
2020-04-03 05:47:00,324.6,325.0,321.65,323.0,5154.0
2020-04-03 05:46:00,324.9,324.95,324.15,324.5,569.0
2020-04-03 05:45:00,324.6,324.95,324.3,324.85,617.0
2020-04-03 05:44:00,324.5,324.9,324.15,324.6,502.0
2020-04-03 05:43:00,324.35,324.65,324.15,324.45,371.0
2020-04-03 05:42:00,324.65,324.75,324.25,324.6,388.0
2020-04-03 05:41:00,324.5,324.7,323.85,324.55,746.0
2020-04-03 05:40:00,322.95,324.7,322.95,324.25,1048.0
2020-04-03 05:39:00,321.9,322.95,321.9,322.95,538.0
2020-04-03 05:38:00,321.0,321.85,321.0,321.85,605.0
2020-04-03 05:37:00,321.45,321.5,320.0,321.15,728.0
2020-04-03 05:36:00,321.0,321.6,320.85,321.5,609.0
2020-04-03 05:35:00,320.9,321.0,320.45,321.0,463.0
2020-04-03 05:34:00,320.7,320.9,320.6,320.9,363.0
2020-04-03 05:33:00,320.65,320.85,320.15,320.75,486.0
2020-04-03 05:32:00,320.6,320.65,320.25,320.65,411.0
2020-04-03 05:31:00,321.05,321.05,320.25,320.6,710.0
2020-04-03 05:30:00,320.0,321.5,319.85,320.85,1475.0
2020-04-03 05:29:00,320.0,320.0,319.85,320.0,681.0
2020-04-03 05:28:00,319.35,320.0,318.8,320.0,705.0
2020-04-03 05:27:00,319.9,320.0,318.8,319.45,1285.0
2020-04-03 05:26:00,318.85,320.0,318.3,319.9,745.0
2020-04-03 05:25:00,325.0,325.0,317.3,318.5,4311.0
2020-04-03 05:24:00,324.65,324.95,324.5,324.95,484.0
2020-04-03 05:23:00,324.55,325.0,324.5,324.65,431.0
2020-04-03 05:22:00,325.0,325.0,324.4,324.6,529.0
2020-04-03 05:21:00,324.85,325.0,324.55,325.0,410.0
2020-04-03 05:20:00,324.55,325.0,324.25,324.75,373.0
2020-04-03 05:19:00,324.85,325.0,324.35,324.95,394.0
2020-04-03 05:18:00,324.6,325.0,324.05,324.8,583.0
2020-04-03 05:17:00,324.75,325.0,324.4,325.0,407.0
2020-04-03 05:16:00,324.85,325.0,324.2,324.95,595.0
2020-04-03 05:15:00,324.3,325.0,324.3,325.0,1683.0
2020-04-03 05:14:00,324.95,325.0,324.45,324.9,567.0
2020-04-03 05:13:00,324.0,325.0,324.0,324.7,644.0
2020-04-03 05:12:00,323.1,324.0,323.05,323.95,527.0
2020-04-03 05:11:00,324.4,325.0,322.85,323.0,843.0
2020-04-03 05:10:00,325.05,325.05,323.85,324.4,798.0
2020-04-03 05:09:00,324.5,325.05,324.0,324.45,1594.0
2020-04-03 05:08:00,326.3,326.75,323.8,324.25,1442.0
2020-04-03 05:07:00,326.2,326.8,326.1,326.35,456.0
2020-04-03 05:06:00,326.3,326.5,326.05,326.3,341.0
2020-04-03 05:05:00,326.8,327.0,326.05,326.25,345.0
2020-04-03 05:04:00,326.75,327.1,326.0,327.0,456.0
2020-04-03 05:03:00,326.1,327.1,326.1,326.75,332.0
2020-04-03 05:02:00,327.35,327.35,326.0,326.15,862.0
2020-04-03 05:01:00,326.2,327.4,326.15,327.35,724.0
2020-04-03 05:00:00,327.8,328.1,326.1,326.15,760.0
2020-04-03 04:59:00,328.95,331.75,326.65,327.8,3771.0
2020-04-03 04:58:00,328.75,328.95,328.5,328.65,501.0
2020-04-03 04:57:00,328.95,328.95,328.55,328.6,456.0
2020-04-03 04:56:00,328.55,328.95,328.5,328.55,394.0
2020-04-03 04:55:00,328.85,328.95,328.5,328.65,300.0
2020-04-03 04:54:00,328.15,328.6,327.9,328.6,660.0
2020-04-03 04:53:00,328.85,328.95,328.15,328.85,339.0
2020-04-03 04:52:00,328.9,328.9,327.95,328.55,385.0
2020-04-03 04:51:00,328.3,328.9,328.0,328.85,334.0
2020-04-03 04:50:00,328.45,328.9,327.55,327.95,343.0
2020-04-03 04:49:00,327.85,328.65,327.4,327.85,378.0
2020-04-03 04:48:00,327.85,328.4,327.7,327.95,1717.0
2020-04-03 04:47:00,327.85,328.4,327.6,328.4,493.0
2020-04-03 04:46:00,327.85,328.4,327.5,328.0,395.0
2020-04-03 04:45:00,328.35,328.5,327.6,328.4,497.0
2020-04-03 04:44:00,328.2,328.45,327.7,328.4,806.0
2020-04-03 04:43:00,328.4,328.75,327.75,328.05,353.0
2020-04-03 04:42:00,328.15,328.4,327.5,327.95,308.0
2020-04-03 04:41:00,328.2,328.35,327.25,327.9,591.0
2020-04-03 04:40:00,328.2,328.8,328.1,328.15,423.0
2020-04-03 04:39:00,328.65,328.95,328.0,328.2,353.0
2020-04-03 04:38:00,328.0,328.8,327.8,328.65,402.0
2020-04-03 04:37:00,328.4,328.8,327.95,328.5,398.0
2020-04-03 04:36:00,328.4,328.8,327.9,328.1,331.0
2020-04-03 04:35:00,328.75,328.85,328.15,328.75,346.0
2020-04-03 04:34:00,328.5,328.9,328.0,328.55,355.0
2020-04-03 04:33:00,327.9,328.8,327.65,328.5,353.0
2020-04-03 04:32:00,328.95,329.0,327.2,327.75,837.0
2020-04-03 04:31:00,328.2,328.95,328.2,328.6,285.0
2020-04-03 04:30:00,328.25,329.0,327.95,328.6,364.0
2020-04-03 04:29:00,328.1,329.0,327.15,328.45,855.0
2020-04-03 04:28:00,328.5,329.0,327.8,328.35,408.0
2020-04-03 04:27:00,328.45,328.95,328.05,328.25,311.0
2020-04-03 04:26:00,327.45,328.9,327.25,328.9,380.0
2020-04-03 04:25:00,327.1,328.5,327.1,327.75,346.0
2020-04-03 04:24:00,327.5,328.35,327.4,327.5,340.0
2020-04-03 04:23:00,328.95,329.0,327.2,327.3,571.0
2020-04-03 04:22:00,328.75,328.95,327.6,328.7,298.0
2020-04-03 04:21:00,328.1,328.9,327.6,328.8,540.0
2020-04-03 04:20:00,328.35,328.9,327.3,328.3,605.0
2020-04-03 04:19:00,328.1,328.45,328.0,328.25,415.0
2020-04-03 04:18:00,326.85,328.5,325.55,328.25,254552.0
2020-04-03 04:17:00,328.4,329.0,326.65,326.8,4126.0
2020-04-03 04:16:00,328.1,328.85,327.25,328.45,384.0
2020-04-03 04:15:00,327.6,328.2,326.75,328.2,463.0
2020-04-03 04:14:00,327.15,328.25,326.55,327.55,630.0
2020-04-03 04:13:00,330.0,330.9,326.05,326.7,1477.0
2020-04-03 04:12:00,329.1,330.0,329.05,329.35,637.0
2020-04-03 04:11:00,329.0,330.0,329.0,329.85,869.0
2020-04-03 04:10:00,328.85,329.0,328.05,328.7,289.0
2020-04-03 04:09:00,329.25,329.4,328.1,328.95,451.0
2020-04-03 04:08:00,326.3,329.4,326.3,329.3,398.0
2020-04-03 04:07:00,329.9,330.0,326.0,326.3,1409.0
2020-04-03 04:06:00,328.9,330.0,328.1,329.9,1428.0
2020-04-03 04:05:00,324.9,328.8,324.9,328.8,1649.0
