date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,85.0,85.05,84.9,85.05,15837.0
2020-04-03 05:58:00,85.0,85.0,84.9,85.0,10691.0
2020-04-03 05:57:00,85.0,85.0,84.85,85.0,10534.0
2020-04-03 05:56:00,85.0,85.1,84.95,85.05,8819.0
2020-04-03 05:55:00,85.05,85.1,85.0,85.0,14041.0
2020-04-03 05:54:00,84.9,85.0,84.85,84.95,10681.0
2020-04-03 05:53:00,84.9,85.0,84.8,84.9,19771.0
2020-04-03 05:52:00,85.0,85.0,84.8,84.95,21509.0
2020-04-03 05:51:00,85.05,85.15,84.9,85.05,12015.0
2020-04-03 05:50:00,84.95,85.05,84.9,85.05,26364.0
2020-04-03 05:49:00,85.0,85.05,84.95,85.0,9001.0
2020-04-03 05:48:00,85.0,85.05,84.95,85.0,14464.0
2020-04-03 05:47:00,85.1,85.15,85.0,85.05,12988.0
2020-04-03 05:46:00,85.1,85.15,85.05,85.1,13452.0
2020-04-03 05:45:00,85.1,85.25,85.1,85.15,13581.0
2020-04-03 05:44:00,85.25,85.25,85.1,85.15,9524.0
2020-04-03 05:43:00,85.25,85.35,85.2,85.3,11164.0
2020-04-03 05:42:00,85.2,85.25,85.05,85.2,9895.0
2020-04-03 05:41:00,85.15,85.3,85.15,85.25,16132.0
2020-04-03 05:40:00,85.3,85.3,85.15,85.2,15660.0
2020-04-03 05:39:00,84.95,85.2,84.95,85.2,11318.0
2020-04-03 05:38:00,84.9,85.0,84.9,84.95,10491.0
2020-04-03 05:37:00,84.85,85.0,84.85,85.0,9135.0
2020-04-03 05:36:00,84.9,84.95,84.85,84.9,3858.0
2020-04-03 05:35:00,85.0,85.1,84.8,84.95,37086.0
2020-04-03 05:34:00,85.05,85.25,85.0,85.1,37913.0
2020-04-03 05:33:00,85.2,85.2,85.05,85.1,8699.0
2020-04-03 05:32:00,85.2,85.3,85.15,85.3,16477.0
2020-04-03 05:31:00,85.15,85.25,85.15,85.25,5437.0
2020-04-03 05:30:00,85.3,85.35,85.1,85.15,5161.0
2020-04-03 05:29:00,85.25,85.35,85.15,85.35,2467.0
2020-04-03 05:28:00,85.2,85.35,85.2,85.2,1862.0
2020-04-03 05:27:00,85.15,85.3,85.15,85.2,6177.0
2020-04-03 05:26:00,85.25,85.5,85.25,85.35,4694.0
2020-04-03 05:25:00,85.25,85.3,85.1,85.25,16929.0
2020-04-03 05:24:00,85.35,85.4,85.3,85.3,5817.0
2020-04-03 05:23:00,85.4,85.45,85.3,85.35,6988.0
2020-04-03 05:22:00,85.5,85.5,85.35,85.4,2555.0
2020-04-03 05:21:00,85.4,85.5,85.35,85.5,8015.0
2020-04-03 05:20:00,85.55,85.55,85.25,85.4,7060.0
2020-04-03 05:19:00,85.55,85.75,85.5,85.6,29353.0
2020-04-03 05:18:00,85.3,85.5,85.3,85.5,4635.0
2020-04-03 05:17:00,85.2,85.35,85.15,85.3,3754.0
2020-04-03 05:16:00,85.25,85.3,85.25,85.3,1652.0
2020-04-03 05:15:00,85.25,85.35,85.15,85.3,6435.0
2020-04-03 05:14:00,85.15,85.4,85.15,85.3,15652.0
2020-04-03 05:13:00,85.15,85.3,85.0,85.15,10347.0
2020-04-03 05:12:00,85.1,85.15,85.05,85.1,3642.0
