date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,63.1,63.25,63.1,63.25,4083.0
2020-04-03 05:58:00,63.05,63.2,63.0,63.1,1825.0
2020-04-03 05:57:00,63.2,63.25,63.0,63.25,9418.0
2020-04-03 05:56:00,63.3,63.3,63.2,63.25,861.0
2020-04-03 05:55:00,63.3,63.3,63.2,63.3,4177.0
2020-04-03 05:54:00,63.25,63.3,63.25,63.3,5437.0
2020-04-03 05:53:00,63.3,63.35,63.25,63.25,4608.0
2020-04-03 05:52:00,63.35,63.4,63.35,63.35,1456.0
2020-04-03 05:51:00,63.45,63.45,63.35,63.4,3262.0
2020-04-03 05:50:00,63.45,63.5,63.4,63.45,4268.0
2020-04-03 05:49:00,63.35,63.5,63.35,63.5,4301.0
2020-04-03 05:48:00,63.4,63.4,63.3,63.35,1048.0
2020-04-03 05:47:00,63.35,63.4,63.3,63.4,2894.0
2020-04-03 05:46:00,63.3,63.5,63.25,63.35,6299.0
2020-04-03 05:45:00,63.25,63.3,63.2,63.25,2681.0
2020-04-03 05:44:00,63.3,63.3,63.15,63.25,3469.0
2020-04-03 05:43:00,63.3,63.3,63.25,63.3,600.0
2020-04-03 05:42:00,63.25,63.3,63.25,63.3,1212.0
2020-04-03 05:41:00,63.2,63.3,63.2,63.25,1700.0
2020-04-03 05:40:00,63.2,63.2,63.2,63.2,1257.0
2020-04-03 05:39:00,63.25,63.3,63.15,63.15,5540.0
2020-04-03 05:38:00,63.15,63.2,63.15,63.2,2867.0
2020-04-03 05:37:00,63.05,63.15,63.0,63.15,2886.0
2020-04-03 05:36:00,63.1,63.1,63.0,63.05,198.0
2020-04-03 05:35:00,63.0,63.15,63.0,63.0,2595.0
2020-04-03 05:34:00,63.05,63.05,62.9,63.0,1651.0
2020-04-03 05:33:00,63.05,63.05,63.05,63.05,168.0
2020-04-03 05:32:00,63.0,63.1,63.0,63.05,3875.0
2020-04-03 05:31:00,62.95,63.1,62.95,63.0,2170.0
2020-04-03 05:30:00,63.05,63.05,63.0,63.0,3173.0
2020-04-03 05:29:00,63.0,63.05,63.0,63.05,572.0
2020-04-03 05:28:00,63.05,63.05,63.0,63.05,971.0
2020-04-03 05:27:00,63.1,63.1,63.0,63.05,1751.0
2020-04-03 05:26:00,63.1,63.1,63.1,63.1,11.0
2020-04-03 05:25:00,63.1,63.1,63.05,63.05,292.0
2020-04-03 05:24:00,63.05,63.15,63.05,63.1,433.0
2020-04-03 05:23:00,63.05,63.15,63.05,63.15,504.0
2020-04-03 05:22:00,63.1,63.15,63.1,63.15,58.0
2020-04-03 05:21:00,63.1,63.15,63.0,63.15,1088.0
2020-04-03 05:20:00,63.1,63.1,63.0,63.0,849.0
2020-04-03 05:19:00,63.1,63.1,63.05,63.05,399.0
2020-04-03 05:18:00,63.1,63.1,63.1,63.1,1070.0
2020-04-03 05:17:00,63.1,63.1,63.1,63.1,471.0
2020-04-03 05:16:00,63.0,63.05,62.9,63.05,1456.0
2020-04-03 05:15:00,63.05,63.05,62.85,62.9,1209.0
2020-04-03 05:14:00,62.95,63.1,62.85,63.0,2309.0
2020-04-03 05:13:00,62.9,63.0,62.9,63.0,3158.0
