date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,267.3,267.6,266.8,266.8,1439.0
2020-04-03 05:58:00,267.35,267.35,266.6,267.3,5724.0
2020-04-03 05:57:00,267.2,267.65,267.1,267.35,4602.0
2020-04-03 05:56:00,267.05,267.5,267.05,267.2,4952.0
2020-04-03 05:55:00,267.4,267.5,267.0,267.05,2299.0
2020-04-03 05:54:00,266.9,267.9,266.9,267.4,3366.0
2020-04-03 05:53:00,268.45,268.45,266.5,267.0,7943.0
2020-04-03 05:52:00,266.35,268.6,266.2,267.95,18497.0
2020-04-03 05:51:00,266.7,266.7,266.25,266.25,2487.0
2020-04-03 05:50:00,266.45,266.95,266.25,266.3,4196.0
2020-04-03 05:49:00,266.2,266.75,266.05,266.25,3572.0
2020-04-03 05:48:00,266.55,267.0,266.05,266.4,4920.0
2020-04-03 05:47:00,267.4,267.5,266.0,266.0,8775.0
2020-04-03 05:46:00,266.2,267.0,266.05,266.55,31184.0
2020-04-03 05:45:00,266.0,266.95,266.0,266.5,5511.0
2020-04-03 05:44:00,266.25,266.55,266.05,266.15,2821.0
2020-04-03 05:43:00,266.75,266.95,266.05,266.35,2190.0
2020-04-03 05:42:00,267.8,267.9,266.6,267.0,4030.0
2020-04-03 05:41:00,266.85,268.0,266.85,267.85,9062.0
2020-04-03 05:40:00,266.95,267.05,266.85,266.85,8674.0
2020-04-03 05:39:00,266.65,267.0,266.3,267.0,2763.0
2020-04-03 05:38:00,266.55,267.3,266.05,266.9,6516.0
2020-04-03 05:37:00,265.75,266.75,265.75,266.5,7192.0
2020-04-03 05:36:00,265.95,266.25,265.7,265.95,2104.0
2020-04-03 05:35:00,265.95,266.35,265.55,265.95,2816.0
2020-04-03 05:34:00,265.55,266.3,265.55,266.3,4485.0
2020-04-03 05:33:00,265.55,265.95,265.55,265.75,1990.0
2020-04-03 05:32:00,265.55,265.95,265.55,265.65,3334.0
2020-04-03 05:31:00,265.55,266.0,265.55,265.75,4488.0
2020-04-03 05:30:00,265.95,266.35,265.55,265.6,5647.0
2020-04-03 05:29:00,266.2,266.2,265.9,265.9,2342.0
2020-04-03 05:28:00,265.85,266.15,265.8,266.15,2345.0
2020-04-03 05:27:00,265.8,266.25,265.8,266.0,1673.0
2020-04-03 05:26:00,266.15,266.2,265.75,265.75,2273.0
2020-04-03 05:25:00,265.8,266.35,265.55,265.85,3827.0
2020-04-03 05:24:00,266.4,266.55,265.8,265.85,3966.0
2020-04-03 05:23:00,266.4,266.95,266.4,266.55,5878.0
2020-04-03 05:22:00,266.65,266.7,266.35,266.55,2385.0
2020-04-03 05:21:00,265.8,267.05,265.8,266.95,4720.0
2020-04-03 05:20:00,265.8,266.05,265.8,265.8,2876.0
2020-04-03 05:19:00,266.0,266.35,265.55,265.85,5236.0
2020-04-03 05:18:00,265.6,265.9,265.5,265.8,2436.0
2020-04-03 05:17:00,265.75,265.75,265.35,265.45,3210.0
2020-04-03 05:16:00,265.95,266.5,265.45,265.65,4227.0
2020-04-03 05:15:00,266.05,266.2,265.85,266.15,1779.0
2020-04-03 05:14:00,266.0,266.5,265.75,266.1,3022.0
2020-04-03 05:13:00,265.5,265.95,265.5,265.85,2732.0
2020-04-03 05:12:00,265.75,266.2,265.5,265.7,3001.0
2020-04-03 05:11:00,265.95,265.95,265.5,265.95,2501.0
2020-04-03 05:10:00,265.5,265.8,265.3,265.5,2720.0
2020-04-03 05:09:00,265.7,266.2,265.5,265.7,3105.0
2020-04-03 05:08:00,265.25,265.85,265.05,265.35,5049.0
2020-04-03 05:07:00,265.65,266.0,265.3,265.3,3963.0
2020-04-03 05:06:00,265.55,266.05,265.2,265.8,10748.0
2020-04-03 05:05:00,266.05,266.05,265.25,265.25,2759.0
2020-04-03 05:04:00,265.45,266.6,265.15,265.45,10596.0
2020-04-03 05:03:00,265.25,266.05,265.25,265.4,3048.0
2020-04-03 05:02:00,265.85,265.9,265.25,265.4,2877.0
2020-04-03 05:01:00,266.6,266.65,265.9,265.9,2630.0
2020-04-03 05:00:00,266.75,267.0,266.5,266.5,2023.0
2020-04-03 04:59:00,267.0,267.3,266.6,266.6,2646.0
2020-04-03 04:58:00,267.45,267.45,267.15,267.15,2465.0
2020-04-03 04:57:00,266.45,267.2,266.45,267.2,5551.0
2020-04-03 04:56:00,265.8,266.35,265.6,266.1,3088.0
2020-04-03 04:55:00,266.05,266.05,265.75,265.75,2578.0
2020-04-03 04:54:00,266.2,266.2,265.5,265.75,2560.0
2020-04-03 04:53:00,266.1,266.4,265.95,266.1,3123.0
2020-04-03 04:52:00,266.2,266.2,265.7,265.85,2585.0
2020-04-03 04:51:00,265.5,266.4,265.5,266.35,3079.0
2020-04-03 04:50:00,266.4,266.55,265.8,265.8,5139.0
2020-04-03 04:49:00,266.55,266.65,266.3,266.55,2618.0
2020-04-03 04:48:00,266.3,266.7,266.25,266.6,3785.0
2020-04-03 04:47:00,265.5,266.4,265.5,266.25,5457.0
2020-04-03 04:46:00,265.5,265.95,265.45,265.65,2841.0
2020-04-03 04:45:00,266.3,266.35,265.5,265.7,5343.0
2020-04-03 04:44:00,265.75,266.7,265.75,266.45,3632.0
2020-04-03 04:43:00,266.1,266.4,265.75,265.75,3484.0
2020-04-03 04:42:00,266.0,266.15,265.8,265.8,4167.0
2020-04-03 04:41:00,266.35,266.6,266.0,266.05,6438.0
2020-04-03 04:40:00,266.6,266.7,266.2,266.35,3887.0
2020-04-03 04:39:00,266.75,266.9,266.5,266.6,2764.0
2020-04-03 04:38:00,266.6,267.05,266.1,266.75,4436.0
2020-04-03 04:37:00,266.75,268.0,266.0,266.75,8252.0
2020-04-03 04:36:00,266.6,266.9,266.5,266.75,4256.0
2020-04-03 04:35:00,266.8,267.0,266.6,266.9,3001.0
2020-04-03 04:34:00,265.75,266.85,265.75,266.65,5259.0
2020-04-03 04:33:00,265.0,265.95,265.0,265.95,4353.0
2020-04-03 04:32:00,266.6,266.75,265.0,265.1,18977.0
2020-04-03 04:31:00,267.0,267.45,266.5,266.6,8781.0
2020-04-03 04:30:00,266.55,267.35,266.5,267.0,3776.0
2020-04-03 04:29:00,266.55,266.9,266.5,266.55,4368.0
2020-04-03 04:28:00,266.65,267.0,266.2,266.5,5383.0
2020-04-03 04:27:00,267.0,267.45,266.2,266.6,7366.0
2020-04-03 04:26:00,267.3,267.7,266.9,267.05,2404.0
2020-04-03 04:25:00,268.55,268.8,266.8,267.3,18350.0
2020-04-03 04:24:00,268.9,268.9,268.55,268.55,1054.0
2020-04-03 04:23:00,269.05,269.05,268.55,268.95,2854.0
2020-04-03 04:22:00,269.55,269.6,268.95,269.0,2241.0
2020-04-03 04:21:00,269.55,269.75,269.3,269.55,6256.0
2020-04-03 04:20:00,270.2,270.2,269.3,269.6,11077.0
2020-04-03 04:19:00,270.4,270.55,270.0,270.0,3259.0
2020-04-03 04:18:00,270.45,270.6,270.2,270.3,1880.0
2020-04-03 04:17:00,269.6,270.95,269.6,270.55,16147.0
2020-04-03 04:16:00,269.35,270.35,269.35,270.0,4801.0
2020-04-03 04:15:00,269.6,269.6,269.3,269.4,2347.0
2020-04-03 04:14:00,269.6,269.85,269.6,269.6,1592.0
2020-04-03 04:13:00,269.6,269.85,269.55,269.75,717.0
2020-04-03 04:12:00,269.85,270.15,269.45,269.8,4244.0
2020-04-03 04:11:00,270.15,270.25,269.55,269.6,21000.0
2020-04-03 04:10:00,270.25,270.5,270.0,270.15,3121.0
2020-04-03 04:09:00,270.5,270.65,270.0,270.25,8500.0
2020-04-03 04:08:00,269.5,270.0,269.35,269.95,1297.0
2020-04-03 04:07:00,270.5,270.5,269.2,269.4,5403.0
2020-04-03 04:06:00,269.65,270.3,269.6,270.0,2877.0
2020-04-03 04:05:00,269.0,269.65,268.85,269.55,3097.0
2020-04-03 04:04:00,268.75,269.15,268.75,269.0,552.0
2020-04-03 04:03:00,268.9,268.95,268.5,268.75,555.0
2020-04-03 04:02:00,268.5,268.75,268.5,268.5,591.0
2020-04-03 04:01:00,268.55,268.9,268.5,268.55,948.0
2020-04-03 04:00:00,268.4,269.0,268.4,268.5,2453.0
2020-04-03 03:59:00,268.85,268.95,268.2,268.5,4398.0
2020-04-03 03:58:00,268.95,269.3,268.8,268.85,1368.0
2020-04-03 03:57:00,269.35,269.35,268.8,268.95,4505.0
2020-04-03 03:56:00,269.1,269.5,269.1,269.35,2592.0
2020-04-03 03:55:00,269.45,269.45,268.95,268.95,1199.0
2020-04-03 03:54:00,269.4,269.45,268.95,269.0,629.0
2020-04-03 03:53:00,269.0,269.3,268.7,269.15,1667.0
2020-04-03 03:52:00,269.0,269.0,268.7,268.85,1279.0
2020-04-03 03:51:00,269.3,269.4,268.6,268.7,3769.0
2020-04-03 03:50:00,269.45,269.7,269.15,269.3,1302.0
2020-04-03 03:49:00,269.25,269.95,269.25,269.55,1841.0
2020-04-03 03:48:00,270.0,270.0,269.05,269.05,6948.0
2020-04-03 03:47:00,270.05,270.25,270.0,270.0,913.0
2020-04-03 03:46:00,270.35,270.5,270.1,270.1,1475.0
