date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:58:00,56.5,56.5,56.45,56.45,85.0
2020-04-03 05:57:00,56.5,56.5,56.5,56.5,39.0
2020-04-03 05:56:00,56.5,56.5,56.5,56.5,0.0
2020-04-03 05:55:00,56.5,56.5,56.5,56.5,202.0
2020-04-03 05:54:00,56.5,56.5,56.5,56.5,4.0
2020-04-03 05:52:00,56.5,56.5,56.5,56.5,40.0
2020-04-03 05:50:00,56.35,56.5,56.35,56.5,595.0
2020-04-03 05:46:00,56.3,56.3,56.3,56.3,7.0
2020-04-03 05:44:00,56.25,56.35,56.25,56.35,211.0
2020-04-03 05:43:00,56.5,56.5,56.4,56.4,141.0
2020-04-03 05:40:00,56.85,56.85,56.85,56.85,39.0
2020-04-03 05:38:00,56.5,56.5,56.5,56.5,45.0
2020-04-03 05:37:00,57.05,57.05,57.05,57.05,28.0
2020-04-03 05:36:00,57.05,57.05,57.05,57.05,31.0
2020-04-03 05:33:00,57.65,57.65,57.65,57.65,46.0
2020-04-03 05:26:00,57.6,57.6,57.6,57.6,0.0
2020-04-03 05:25:00,57.7,57.7,57.7,57.7,13.0
2020-04-03 05:21:00,57.75,57.75,57.75,57.75,17.0
2020-04-03 05:03:00,57.0,57.0,56.6,56.6,38.0
2020-04-03 05:01:00,57.7,57.7,57.7,57.7,11.0
2020-04-03 04:55:00,57.1,57.1,57.1,57.1,42.0
2020-04-03 04:50:00,57.15,57.15,57.15,57.15,39.0
2020-04-03 04:49:00,57.15,57.15,57.15,57.15,30.0
2020-04-03 04:34:00,57.65,57.65,57.65,57.65,17.0
2020-04-03 04:29:00,57.65,57.65,57.65,57.65,0.0
2020-04-03 04:28:00,57.05,57.05,57.05,57.05,0.0
2020-04-03 04:27:00,57.75,57.75,57.75,57.75,263.0
2020-04-03 04:25:00,56.8,56.8,56.8,56.8,129.0
2020-04-03 04:22:00,56.8,56.8,56.8,56.8,93.0
2020-04-03 04:20:00,56.8,56.8,56.8,56.8,0.0
2020-04-03 04:13:00,56.8,56.8,56.8,56.8,121.0
2020-04-03 03:58:00,56.8,56.8,56.8,56.8,12.0
2020-04-03 03:52:00,56.8,56.8,56.8,56.8,102.0
2020-04-03 03:41:00,56.55,56.8,56.55,56.8,25.0
2020-04-03 03:39:00,56.6,56.6,56.55,56.55,30.0
2020-04-03 03:38:00,56.1,56.1,56.1,56.1,1.0
2020-04-03 03:18:00,56.0,56.0,56.0,56.0,0.0
2020-04-03 03:13:00,56.0,56.0,56.0,56.0,20400.0
2020-04-03 03:07:00,56.0,56.0,56.0,56.0,0.0
2020-04-03 03:04:00,55.95,55.95,55.95,55.95,255.0
2020-04-03 02:51:00,56.0,56.0,56.0,56.0,0.0
2020-04-03 02:48:00,56.0,56.0,56.0,56.0,138.0
2020-04-03 02:46:00,55.85,55.85,55.85,55.85,14.0
2020-04-03 02:39:00,55.95,55.95,55.95,55.95,64.0
2020-04-03 02:33:00,55.9,55.9,55.9,55.9,4.0
2020-04-03 02:31:00,55.5,55.9,55.5,55.9,11.0
2020-04-03 02:16:00,55.9,55.9,55.9,55.9,1.0
2020-04-03 02:07:00,55.9,55.9,55.9,55.9,0.0
2020-04-03 02:02:00,55.9,55.9,55.9,55.9,43.0
2020-04-03 02:00:00,55.9,55.9,55.9,55.9,1.0
2020-04-03 01:53:00,55.9,55.9,55.9,55.9,4.0
2020-04-03 01:52:00,56.0,56.0,55.9,55.9,4.0
2020-04-03 01:50:00,56.0,56.0,56.0,56.0,0.0
2020-04-03 01:43:00,55.0,56.55,55.0,56.55,11744.0
2020-04-03 01:39:00,55.05,56.4,55.05,56.4,2.0
2020-04-03 01:38:00,54.45,54.45,54.45,54.45,0.0
2020-04-03 01:37:00,55.4,56.8,55.4,56.8,23.0
2020-04-03 01:36:00,54.0,56.8,54.0,56.7,2221.0
2020-04-03 01:35:00,57.0,57.0,56.75,56.8,713.0
2020-04-03 01:27:00,58.0,58.0,58.0,58.0,85.0
2020-04-03 01:22:00,58.0,58.0,58.0,58.0,41.0
2020-04-03 01:21:00,58.0,58.0,58.0,58.0,17.0
2020-04-03 01:01:00,57.9,57.9,57.9,57.9,4.0
2020-04-03 00:52:00,57.9,57.9,57.9,57.9,0.0
2020-04-03 00:49:00,57.75,57.75,57.75,57.75,15.0
2020-04-03 00:46:00,58.0,58.0,57.95,57.95,421.0
2020-04-03 00:43:00,58.75,58.75,58.75,58.75,22.0
2020-04-03 00:37:00,58.8,58.8,58.8,58.8,0.0
2020-04-03 00:36:00,58.8,58.8,58.8,58.8,0.0
2020-04-03 00:35:00,58.8,58.8,58.8,58.8,35.0
2020-04-03 00:33:00,58.75,58.75,58.75,58.75,9.0
2020-04-03 00:32:00,58.65,58.65,58.65,58.65,48.0
2020-04-03 00:31:00,58.15,58.15,58.15,58.15,0.0
2020-04-03 00:28:00,58.1,58.1,58.1,58.1,25.0
2020-04-03 00:20:00,57.75,57.75,57.75,57.75,0.0
2020-04-03 00:12:00,57.75,57.75,57.75,57.75,306.0
2020-04-03 00:07:00,57.7,57.7,57.7,57.7,0.0
2020-04-03 00:03:00,57.6,57.6,57.6,57.6,430.0
2020-04-03 00:01:00,57.55,57.55,57.55,57.55,24.0
2020-04-03 00:00:00,57.75,57.75,57.75,57.75,0.0
2020-04-02 23:59:00,57.05,57.05,57.05,57.05,20.0
2020-04-02 23:52:00,57.05,57.05,57.05,57.05,16.0
2020-04-02 23:50:00,56.25,57.85,56.25,57.85,142.0
2020-04-02 23:48:00,56.0,56.0,56.0,56.0,799.0
2020-04-02 23:47:00,58.9,58.9,58.0,58.0,381.0
2020-04-02 23:46:00,58.9,60.0,58.9,58.9,617.0
2020-04-02 23:45:00,58.9,58.9,58.9,58.9,0.0
2020-04-01 05:59:00,57.0,57.0,56.75,56.75,120.0
2020-04-01 05:58:00,57.0,57.0,57.0,57.0,445.0
2020-04-01 05:55:00,57.0,57.0,57.0,57.0,136.0
2020-04-01 05:54:00,56.85,56.85,56.85,56.85,2.0
2020-04-01 05:53:00,56.85,57.0,56.05,56.05,185.0
2020-04-01 05:52:00,56.9,56.9,56.9,56.9,44.0
2020-04-01 05:43:00,56.8,56.8,56.8,56.8,52.0
