date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,88.95,88.95,88.1,88.1,54.0
2020-04-03 05:58:00,88.65,88.65,88.65,88.65,33.0
2020-04-03 05:56:00,88.25,88.25,88.25,88.25,0.0
2020-04-03 05:55:00,88.25,88.25,88.25,88.25,55.0
2020-04-03 05:54:00,88.65,88.95,88.65,88.95,39.0
2020-04-03 05:53:00,88.45,88.65,88.45,88.65,153.0
2020-04-03 05:52:00,88.5,88.5,88.45,88.45,44.0
2020-04-03 05:50:00,88.6,88.6,88.6,88.6,0.0
2020-04-03 05:49:00,88.65,88.65,88.6,88.6,0.0
2020-04-03 05:48:00,89.0,89.0,89.0,89.0,181.0
2020-04-03 05:46:00,88.0,88.0,88.0,88.0,404.0
2020-04-03 05:45:00,87.85,87.9,87.85,87.9,136.0
2020-04-03 05:44:00,87.8,87.8,87.8,87.8,9.0
2020-04-03 05:43:00,87.55,87.55,87.55,87.55,0.0
2020-04-03 05:42:00,87.95,87.95,87.8,87.8,1027.0
2020-04-03 05:41:00,87.95,87.95,87.95,87.95,0.0
2020-04-03 05:40:00,87.75,87.95,87.75,87.95,0.0
2020-04-03 05:39:00,87.95,87.95,87.95,87.95,592.0
2020-04-03 05:37:00,88.3,88.3,88.0,88.0,165.0
2020-04-03 05:32:00,88.3,88.3,88.3,88.3,24.0
2020-04-03 05:31:00,88.0,88.0,88.0,88.0,541.0
2020-04-03 05:30:00,88.3,88.3,88.3,88.3,261.0
2020-04-03 05:29:00,88.35,88.95,88.35,88.95,143.0
2020-04-03 05:28:00,88.35,88.35,88.35,88.35,37.0
2020-04-03 05:25:00,88.35,88.35,88.35,88.35,0.0
2020-04-03 05:24:00,88.35,88.35,88.35,88.35,53.0
2020-04-03 05:21:00,88.35,88.35,88.35,88.35,0.0
2020-04-03 05:19:00,88.45,88.45,88.45,88.45,2.0
2020-04-03 05:15:00,88.6,88.6,88.6,88.6,42.0
2020-04-03 05:14:00,88.55,88.55,88.55,88.55,0.0
2020-04-03 05:13:00,88.2,88.55,88.2,88.55,0.0
2020-04-03 05:12:00,88.2,88.2,88.2,88.2,165.0
2020-04-03 05:10:00,88.2,88.2,88.2,88.2,22.0
2020-04-03 05:09:00,88.5,88.5,88.2,88.2,1136.0
2020-04-03 05:08:00,88.85,88.85,88.85,88.85,28.0
2020-04-03 05:07:00,88.85,88.85,88.85,88.85,27.0
2020-04-03 05:06:00,88.85,88.85,88.85,88.85,29.0
2020-04-03 05:05:00,88.9,88.9,88.85,88.85,79.0
2020-04-03 05:04:00,88.9,88.9,88.9,88.9,29.0
2020-04-03 05:03:00,88.9,88.9,88.9,88.9,28.0
2020-04-03 05:02:00,88.85,88.9,88.85,88.9,28.0
2020-04-03 05:01:00,88.85,88.85,88.85,88.85,28.0
2020-04-03 05:00:00,88.85,89.0,88.85,88.85,40.0
2020-04-03 04:59:00,88.85,88.85,88.85,88.85,29.0
2020-04-03 04:58:00,88.85,88.85,88.85,88.85,28.0
2020-04-03 04:57:00,88.85,88.85,88.85,88.85,28.0
2020-04-03 04:56:00,88.5,88.85,88.5,88.85,106.0
2020-04-03 04:55:00,88.2,88.45,88.2,88.45,129.0
2020-04-03 04:54:00,88.4,88.4,88.4,88.4,29.0
2020-04-03 04:53:00,88.4,88.4,88.4,88.4,27.0
2020-04-03 04:52:00,88.4,88.45,88.0,88.4,296.0
2020-04-03 04:51:00,88.7,88.7,88.7,88.7,21.0
2020-04-03 04:50:00,88.7,88.7,88.7,88.7,12.0
2020-04-03 04:48:00,88.75,88.75,88.75,88.75,0.0
2020-04-03 04:46:00,89.05,89.05,88.7,88.7,273.0
2020-04-03 04:45:00,89.1,89.1,89.1,89.1,0.0
2020-04-03 04:41:00,89.15,89.15,89.15,89.15,8.0
2020-04-03 04:39:00,89.55,89.55,89.55,89.55,17.0
2020-04-03 04:33:00,89.05,89.05,89.05,89.05,94.0
2020-04-03 04:32:00,89.0,89.0,89.0,89.0,0.0
2020-04-03 04:27:00,88.0,88.0,88.0,88.0,94.0
2020-04-03 04:22:00,90.0,90.0,90.0,90.0,29.0
2020-04-03 04:19:00,88.5,88.5,88.0,88.0,797.0
2020-04-03 04:18:00,88.8,88.8,88.8,88.8,0.0
2020-04-03 04:17:00,88.8,88.8,88.8,88.8,35.0
2020-04-03 04:16:00,88.8,88.8,88.8,88.8,78.0
2020-04-03 04:10:00,88.85,88.85,88.85,88.85,15.0
2020-04-03 04:05:00,88.85,88.85,88.85,88.85,10.0
2020-04-03 04:04:00,88.6,88.6,88.6,88.6,0.0
2020-04-03 04:02:00,88.6,88.7,88.6,88.6,1383.0
2020-04-03 04:01:00,89.05,89.05,89.05,89.05,0.0
