date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,151.75,153.0,151.55,153.0,4211.0
2020-04-03 05:58:00,152.05,152.1,151.55,151.95,3835.0
2020-04-03 05:57:00,152.8,152.8,152.0,152.05,19616.0
2020-04-03 05:56:00,152.7,152.8,152.55,152.6,2682.0
2020-04-03 05:55:00,152.85,152.9,152.65,152.7,7539.0
2020-04-03 05:54:00,153.3,153.3,152.7,152.9,12287.0
2020-04-03 05:53:00,153.05,153.35,153.05,153.25,15056.0
2020-04-03 05:52:00,152.85,153.15,152.7,153.05,15604.0
2020-04-03 05:51:00,153.15,153.15,152.75,152.9,9428.0
2020-04-03 05:50:00,153.15,153.25,153.1,153.15,12591.0
2020-04-03 05:49:00,153.25,153.25,153.2,153.2,5959.0
2020-04-03 05:48:00,153.45,153.45,153.2,153.25,7017.0
2020-04-03 05:47:00,153.35,153.45,153.3,153.45,8686.0
2020-04-03 05:46:00,153.25,153.45,153.2,153.4,15064.0
2020-04-03 05:45:00,152.9,153.3,152.85,153.15,14373.0
2020-04-03 05:44:00,153.1,153.1,152.8,152.85,9861.0
2020-04-03 05:43:00,153.25,153.25,153.05,153.05,8691.0
2020-04-03 05:42:00,152.8,153.3,152.75,153.2,12691.0
2020-04-03 05:41:00,152.85,152.85,152.8,152.8,6234.0
2020-04-03 05:40:00,153.4,153.45,152.7,152.85,12330.0
2020-04-03 05:39:00,153.15,153.45,153.1,153.4,9963.0
2020-04-03 05:38:00,153.3,153.35,153.1,153.1,10687.0
2020-04-03 05:37:00,152.8,153.35,152.75,153.3,9149.0
2020-04-03 05:36:00,153.1,153.1,152.8,152.8,9184.0
2020-04-03 05:35:00,153.05,153.1,153.05,153.05,8535.0
2020-04-03 05:34:00,152.65,153.15,152.65,153.15,9773.0
2020-04-03 05:33:00,152.9,152.9,152.7,152.7,8586.0
2020-04-03 05:32:00,153.05,153.2,152.8,152.9,6658.0
2020-04-03 05:31:00,153.3,153.4,153.1,153.1,8619.0
2020-04-03 05:30:00,153.9,153.9,153.15,153.15,17402.0
2020-04-03 05:29:00,153.7,153.9,153.7,153.8,4301.0
2020-04-03 05:28:00,153.6,153.8,153.6,153.8,4941.0
2020-04-03 05:27:00,153.55,153.65,153.5,153.6,2565.0
