date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 04:27:10,69.6,69.6,69.6,69.6,0.0
2020-04-03 04:26:00,69.6,69.6,69.5,69.6,86906.0
2020-04-03 04:25:00,69.65,69.7,69.45,69.55,134289.0
2020-04-03 04:24:00,69.75,69.85,69.6,69.65,57573.0
2020-04-03 04:23:00,69.8,69.9,69.65,69.8,102932.0
2020-04-03 04:22:00,69.6,69.95,69.45,69.85,110879.0
2020-04-03 04:21:00,70.05,70.2,69.55,69.6,166539.0
2020-04-03 04:20:00,70.2,70.25,70.1,70.1,94892.0
2020-04-03 04:19:00,70.3,70.3,70.1,70.1,101748.0
2020-04-03 04:18:00,70.5,70.6,70.35,70.35,84006.0
2020-04-03 04:17:00,70.25,70.6,70.2,70.5,121436.0
2020-04-03 04:16:00,70.3,70.4,70.15,70.3,123818.0
2020-04-03 04:15:00,70.5,70.55,70.25,70.25,179395.0
2020-04-03 04:14:00,70.85,70.9,70.5,70.5,177193.0
2020-04-03 04:13:00,70.95,70.95,70.7,70.8,222258.0
2020-04-03 04:12:00,70.65,71.0,70.65,70.95,282180.0
2020-04-03 04:11:00,70.5,70.7,70.4,70.65,164429.0
2020-04-03 04:10:00,70.4,70.6,70.05,70.45,523703.0
2020-04-03 04:09:00,70.1,70.4,70.05,70.4,274760.0
2020-04-03 04:08:00,69.75,70.1,69.75,70.05,129313.0
2020-04-03 04:07:00,69.8,69.9,69.75,69.85,105410.0
2020-04-03 04:06:00,70.0,70.3,69.7,69.8,601783.0
2020-04-03 04:05:00,69.25,69.95,69.25,69.95,771390.0
2020-04-03 04:04:00,69.15,69.35,69.15,69.25,127999.0
2020-04-03 04:03:00,69.15,69.2,69.05,69.2,83569.0
2020-04-03 04:02:00,69.05,69.2,69.05,69.15,66887.0
2020-04-03 04:01:00,68.95,69.3,68.9,69.25,204918.0
2020-04-03 04:00:00,68.85,69.04,68.84,68.95,33089.0
2020-04-03 03:59:00,68.85,68.95,68.85,68.85,26111.0
2020-04-03 03:58:00,68.95,69.0,68.85,68.9,35706.0
2020-04-03 03:57:00,68.85,69.0,68.75,68.9,81869.0
2020-04-03 03:56:00,68.55,68.85,68.55,68.75,64493.0
2020-04-03 03:55:00,68.8,68.8,68.5,68.55,87164.0
2020-04-03 03:54:00,68.95,68.95,68.75,68.75,39218.0
2020-04-03 03:53:00,68.85,68.95,68.75,68.95,83284.0
2020-04-03 03:52:00,69.05,69.1,68.8,68.8,105270.0
2020-04-03 03:51:00,69.05,69.1,69.05,69.1,33966.0
2020-04-03 03:50:00,69.0,69.1,69.0,69.1,36673.0
2020-04-03 03:49:00,69.15,69.2,69.0,69.0,58944.0
2020-04-03 03:48:00,69.15,69.2,69.1,69.2,46456.0
2020-04-03 03:47:00,69.0,69.2,69.0,69.2,106176.0
2020-04-03 03:46:00,68.8,69.05,68.8,68.95,175902.0
2020-04-03 03:45:00,68.8,68.85,68.8,68.85,12540.0
2020-04-03 03:44:00,68.75,68.9,68.75,68.85,75067.0
2020-04-03 03:43:00,68.85,68.85,68.75,68.8,19522.0
2020-04-03 03:42:00,68.8,68.85,68.7,68.8,35400.0
2020-04-03 03:41:00,68.8,68.8,68.7,68.75,31008.0
2020-04-03 03:40:00,68.75,68.85,68.7,68.8,43384.0
2020-04-03 03:39:00,68.65,68.7,68.6,68.7,24502.0
2020-04-03 03:38:00,68.7,68.7,68.6,68.7,15417.0
2020-04-03 03:37:00,68.75,68.75,68.6,68.65,28735.0
2020-04-03 03:36:00,68.85,68.9,68.65,68.75,66772.0
2020-04-03 03:35:00,68.7,68.9,68.65,68.8,83638.0
2020-04-03 03:34:00,68.7,68.7,68.55,68.65,30147.0
2020-04-03 03:33:00,68.6,68.75,68.55,68.6,71796.0
2020-04-03 03:32:00,68.5,68.6,68.45,68.6,43420.0
2020-04-03 03:31:00,68.4,68.5,68.4,68.5,25792.0
2020-04-03 03:30:00,68.45,68.5,68.4,68.5,22405.0
2020-04-03 03:29:00,68.45,68.5,68.4,68.45,20910.0
2020-04-03 03:28:00,68.4,68.45,68.4,68.45,11436.0
2020-04-03 03:27:00,68.5,68.5,68.4,68.4,11509.0
2020-04-03 03:26:00,68.5,68.55,68.45,68.45,32946.0
2020-04-03 03:25:00,68.35,68.55,68.35,68.5,22143.0
2020-04-03 03:24:00,68.5,68.55,68.4,68.4,28962.0
2020-04-03 03:23:00,68.45,68.6,68.4,68.5,46654.0
2020-04-03 03:22:00,68.3,68.45,68.3,68.4,31868.0
2020-04-03 03:21:00,68.4,68.4,68.15,68.3,92754.0
2020-04-03 03:20:00,68.55,68.6,68.35,68.35,65138.0
2020-04-03 03:19:00,68.5,68.65,68.5,68.55,45993.0
2020-04-03 03:18:00,68.45,68.6,68.35,68.5,106899.0
2020-04-03 03:17:00,68.5,68.55,68.4,68.5,66021.0
2020-04-03 03:16:00,68.65,68.7,68.5,68.6,72311.0
2020-04-03 03:15:00,68.9,68.95,68.65,68.65,69973.0
2020-04-03 03:14:00,69.0,69.1,68.8,68.9,205017.0
2020-04-03 03:13:00,68.6,69.0,68.55,69.0,402356.0
2020-04-03 03:12:00,68.3,68.65,68.25,68.65,322801.0
2020-04-03 03:11:00,68.2,68.3,68.2,68.25,11244.0
2020-04-03 03:10:00,68.25,68.3,68.15,68.3,18398.0
2020-04-03 03:09:00,68.1,68.3,68.1,68.2,79596.0
2020-04-03 03:08:00,68.2,68.2,68.1,68.15,20151.0
2020-04-03 03:07:00,68.25,68.3,68.15,68.15,36901.0
2020-04-03 03:06:00,68.25,68.3,68.2,68.3,39656.0
2020-04-03 03:05:00,68.3,68.35,68.2,68.2,51125.0
2020-04-03 03:04:00,68.2,68.35,68.15,68.3,69631.0
2020-04-03 03:03:00,68.25,68.25,68.1,68.15,23400.0
2020-04-03 03:02:00,68.1,68.25,68.05,68.2,58745.0
2020-04-03 03:01:00,68.25,68.25,68.05,68.05,55070.0
2020-04-03 03:00:00,68.4,68.4,68.2,68.2,48419.0
2020-04-03 02:59:00,68.45,68.45,68.3,68.35,31695.0
2020-04-03 02:58:00,68.4,68.45,68.3,68.4,45412.0
2020-04-03 02:57:00,68.45,68.5,68.4,68.4,58007.0
2020-04-03 02:56:00,68.5,68.5,68.35,68.45,86507.0
2020-04-03 02:55:00,68.4,68.5,68.25,68.5,98987.0
2020-04-03 02:54:00,68.3,68.45,68.2,68.4,97480.0
2020-04-03 02:53:00,68.3,68.3,68.15,68.25,44414.0
2020-04-03 02:52:00,68.35,68.35,68.25,68.3,69241.0
2020-04-03 02:51:00,68.3,68.35,68.3,68.3,26066.0
2020-04-03 02:50:00,68.3,68.35,68.2,68.35,45246.0
2020-04-03 02:49:00,68.3,68.4,68.25,68.3,71981.0
2020-04-03 02:48:00,68.2,68.4,68.15,68.3,99222.0
2020-04-03 02:47:00,68.1,68.4,68.1,68.2,163157.0
