,Date,WIPRO,POWERGRID,DRREDDY,NTPC,CIPLA,COALINDIA,IOC,GAIL,ONGC,INFRATEL,TCS,HCLTECH,HINDUNILVR,BRITANNIA,NESTLEIND,BHARTIARTL,TECHM,SUNPHARMA,EICHERMOT,UPL,BPCL,LT,ASIANPAINT,HDFC,ITC,M&M,TATAMOTORS,INFY,SBIN,HINDALCO,TITAN,KOTAKBANK,TATASTEEL,HDFCBANK,VEDL,RELIANCE,MARUTI,SHREECEM,BAJAJ-AUTO,HEROMOTOCO,ULTRACEMCO,ZEEL,JSWSTEEL,ICICIBANK,ADANIPORTS,GRASIM,BAJFINANCE,AXISBANK,INDUSINDBK,BAJAJFINSV,INDUSINDBK_1d,INDUSINDBK_2d,INDUSINDBK_3d,INDUSINDBK_4d,INDUSINDBK_5d,INDUSINDBK_6d,INDUSINDBK_7d,INDUSINDBK_target
0,2016-01-01,556.45,141.0,3108.6,144.5,655.35,334.05,433.25,369.75,242.5,427.05,2416.4,845.85,856.55,2986.4,5785.15,340.5,520.05,815.55,17370.85,440.35,896.05,1289.2,878.75,1258.45,327.5,1265.35,401.9,1105.25,227.8,84.9,352.05,727.25,257.4,1088.75,91.65,1015.35,4638.5,11383.55,2518.0,2686.05,2824.0,432.9,1027.0,263.0,267.55,3767.75,6095.85,449.9,963.85,1983.8,-0.03076204803652018,-0.029672666908751383,-0.02064636613580949,-0.039788348809462075,-0.01743009804430157,-0.028116408154795894,-0.052497795300098585,-1
1,2016-01-04,557.7,140.95,3056.0,143.3,645.65,330.2,426.45,359.8,238.05,430.05,2369.6,845.95,859.0,2972.6,5669.8,326.8,516.4,799.1,17495.3,433.85,891.45,1255.95,880.8,1216.7,325.1,1242.5,377.05,1078.9,220.7,80.75,351.4,705.3,256.9,1070.5,88.95,995.3,4580.65,11059.3,2483.35,2637.8,2749.15,421.95,1044.7,255.55,257.95,3657.25,6052.45,438.4,934.2,1959.5,0.0011239563262684163,0.010436737315350032,-0.009312780989081615,0.013755084564333022,0.002729608220937652,-0.02242560479554704,0.0023549561121814725,-1
2,2016-01-05,556.9,139.15,3070.65,142.25,640.85,325.8,442.65,372.25,241.85,421.2,2348.95,842.8,847.95,2966.7,5662.4,323.45,521.9,800.5,17159.9,435.3,902.65,1256.9,900.65,1209.4,324.85,1249.2,374.45,1074.05,217.75,82.6,347.7,707.75,274.3,1062.4,92.4,1005.15,4566.95,11124.3,2502.35,2616.85,2733.05,425.05,1083.1,256.7,255.7,3659.1,5997.85,436.45,935.25,1946.0,0.009302325581395397,-0.010425020048115477,0.012616947340283298,0.0016038492381716118,-0.023523122159850307,0.0012296177492648781,-0.019513499064421277,-1
3,2016-01-06,555.1,139.5,3046.25,141.45,652.1,327.9,450.85,372.7,237.55,410.4,2381.6,841.4,843.05,3001.7,5719.5,322.2,525.1,791.95,17525.05,443.35,912.3,1236.85,886.4,1209.3,315.1,1226.15,365.9,1069.35,216.85,80.55,347.85,703.6,268.75,1067.1,88.9,1032.2,4480.8,11452.35,2485.5,2578.2,2735.3,423.15,1058.2,250.1,251.8,3652.4,6107.25,430.7,943.95,1938.55,-0.019545526775782664,0.0032840722495893946,-0.007627522644207897,-0.0325229090523863,-0.007998304994968026,-0.02855024100852804,-0.02373007044864674,-1
4,2016-01-07,549.85,138.1,2991.8,137.85,637.45,326.4,441.55,370.6,226.6,399.6,2371.25,825.05,820.25,2946.55,5638.95,322.35,510.8,783.8,17035.65,417.4,884.25,1206.4,872.35,1179.45,309.6,1197.45,343.55,1050.8,209.55,76.65,344.05,691.65,249.9,1056.2,81.15,1013.25,4267.9,10978.95,2419.25,2520.1,2667.7,415.4,1026.35,246.75,245.0,3557.2,6106.3,409.25,925.5,1927.05,0.02328471096704479,0.012155591572123177,-0.013236088600756347,0.011777417612101541,-0.009184224743381956,-0.004267963263101075,-0.028525121555915696,1
5,2016-01-08,555.8,141.65,3010.7,139.55,622.35,321.1,446.8,373.2,230.15,400.2,2397.6,828.35,809.85,2902.3,5632.55,323.85,522.15,794.15,17241.4,425.45,903.55,1179.1,874.6,1174.4,313.65,1198.0,353.35,1063.3,208.95,76.9,348.0,695.1,253.6,1062.35,81.05,1025.75,4214.75,11152.9,2375.85,2489.65,2705.2,411.7,1041.15,245.05,241.4,3575.7,6314.5,413.7,947.05,2000.4,-0.010875877725568825,-0.03568977350720654,-0.011245446386146432,-0.031730109286732436,-0.026925716699223907,-0.050630906499128804,-0.05342906921493048,-1
6,2016-01-11,537.45,143.25,2931.5,141.6,610.05,315.95,442.9,369.3,225.5,395.05,2362.35,814.55,811.75,2919.3,5469.25,321.15,507.3,782.25,17239.1,424.9,888.05,1173.35,873.85,1161.55,316.05,1162.6,360.2,1055.7,204.3,77.9,345.05,700.85,251.65,1058.6,85.0,1051.6,4272.4,10912.05,2360.5,2505.45,2726.8,409.6,1019.65,239.45,234.05,3622.1,6306.2,417.2,936.75,1943.4,-0.025086736055511077,-0.0003736322391246573,-0.021083533493461436,-0.016226314384841255,-0.04019215372297836,-0.04302108353349341,-0.0673605551107553,-1
7,2016-01-12,548.9,142.75,2923.25,145.2,611.45,316.0,440.0,365.85,221.35,395.25,2327.05,810.05,819.7,2940.2,5439.85,315.4,507.4,788.15,17066.8,424.9,890.15,1179.15,872.9,1151.85,315.15,1181.9,355.0,1049.95,199.4,75.6,346.9,692.0,245.75,1046.95,84.25,1045.45,4266.7,10596.1,2344.35,2467.2,2670.05,407.05,1012.8,236.75,236.6,3549.65,6208.8,406.1,913.25,1957.5,0.02534902819600326,0.004106214070626882,0.009088420476320783,-0.015494114426498742,-0.01839583903640838,-0.043361620585819896,-0.04363536819052836,1
8,2016-01-13,546.5,142.9,2890.95,144.25,608.65,317.3,439.2,362.9,223.2,397.8,2279.2,826.4,832.75,2905.2,5501.15,308.6,504.45,796.6,17062.7,411.1,895.9,1156.75,868.55,1167.65,315.75,1205.05,364.6,1083.4,200.9,76.7,349.95,689.15,246.6,1060.15,80.95,1076.85,4291.25,10540.15,2369.7,2473.7,2684.35,414.25,1003.7,239.5,230.2,3527.0,6077.85,406.7,936.4,1987.45,-0.02071764203331907,-0.015858607432721085,-0.03983340452797945,-0.042663391712943116,-0.06701196070055532,-0.0672789406236651,-0.04100811618966251,-1
9,2016-01-14,545.25,142.85,2915.0,143.2,614.3,318.65,435.4,357.55,223.25,395.25,2278.8,828.85,827.25,2897.6,5616.15,308.75,514.0,791.85,16988.0,398.55,909.4,1134.65,889.4,1159.3,317.25,1188.55,354.3,1133.0,196.05,74.7,341.7,684.1,238.75,1049.75,79.35,1061.65,4248.25,10192.75,2362.45,2437.55,2626.8,416.05,1003.45,235.75,227.8,3499.2,6075.9,390.6,917.0,1948.9,0.004961832061068653,-0.01952017448200652,-0.02241003271537618,-0.04727371864776447,-0.04754634678298803,-0.020719738276990186,-0.010687022900763309,-1
